t_mono,t_wall,n_procs,client_rss_mb,workers_rss_mb,tree_rss_mb,tree_cpu_pct,sys_used_mb,sys_available_mb,swap_used_mb,net_recv_mb,net_sent_mb,disk_read_mb,workers
52.7655,1788882917.8203,2,22.93,12.29,35.21,0.0,1084.0,62169.5,0.0,154.470,0.477,303.339,1838:12
52.8692,1788882917.9240,2,22.93,12.29,35.21,0.0,1083.8,62169.7,0.0,154.470,0.477,303.339,1838:12
52.9726,1788882918.0274,2,22.93,12.29,35.22,0.0,1083.6,62169.9,0.0,154.470,0.477,303.339,1838:12
53.0756,1788882918.1304,2,36.54,12.29,48.83,106.8,1092.7,62160.7,0.0,154.470,0.477,303.339,1838:12
53.1786,1788882918.2335,2,39.54,12.29,51.83,97.1,1097.1,62156.4,0.0,154.470,0.477,303.394,1838:12
53.2820,1788882918.3368,2,53.58,12.29,65.87,435.5,1098.3,62155.2,0.0,154.470,0.477,303.538,1838:12
53.3897,1788882918.4445,2,56.34,12.29,68.63,1085.8,1098.1,62155.4,0.0,154.470,0.477,303.538,1838:12
53.4927,1788882918.5475,2,62.58,12.29,74.87,106.8,1101.7,62151.8,0.0,154.470,0.477,303.538,1838:12
53.5956,1788882918.6504,2,66.50,12.29,78.79,77.7,1104.3,62149.1,0.0,154.470,0.477,305.214,1838:12
53.6985,1788882918.7533,2,74.24,12.29,86.53,106.9,1111.4,62142.0,0.0,154.470,0.477,305.214,1838:12
53.8015,1788882918.8563,2,76.21,12.29,88.50,87.4,1111.1,62142.4,0.0,154.470,0.477,305.296,1838:12
53.9044,1788882918.9592,2,78.79,12.29,91.08,106.7,1115.0,62138.4,0.0,154.470,0.477,305.296,1838:12
54.0075,1788882919.0623,2,83.29,12.29,95.58,77.6,1113.9,62139.5,0.0,154.470,0.477,306.179,1838:12
54.1105,1788882919.1653,2,100.22,12.29,112.51,106.7,1129.1,62124.4,0.0,154.470,0.477,306.229,1838:12
54.2136,1788882919.2684,2,101.25,12.29,113.54,106.8,1129.3,62124.2,0.0,154.470,0.477,306.229,1838:12
54.3166,1788882919.3714,2,102.71,12.29,115.00,97.1,1128.9,62124.6,0.0,154.470,0.477,306.229,1838:12
54.4195,1788882919.4743,2,111.66,12.29,123.95,97.1,1141.1,62112.3,0.0,154.470,0.477,306.229,1838:12
54.5226,1788882919.5774,2,112.38,12.29,124.67,97.1,1141.0,62112.5,0.0,154.470,0.477,306.229,1838:12
54.6256,1788882919.6804,2,113.61,12.29,125.89,106.8,1140.7,62112.8,0.0,154.470,0.477,306.351,1838:12
54.7285,1788882919.7834,2,115.34,12.29,127.62,97.1,1140.7,62112.8,0.0,154.470,0.477,306.351,1838:12
54.8316,1788882919.8864,2,118.95,12.29,131.24,97.1,1144.2,62109.3,0.0,154.470,0.477,306.351,1838:12
