                                                                      Workers from spans (tile/spans.json)                                                                       
Worker                                                 Spans    Ignored    Span time    Window    Top spans                                                                      
unix:///tmp/frisky-sock-u2zmrkpl/worker-2419-0.sock       43          3         7.3m      5.8m    worker.exec.call 5.8m, worker.paused 1.5m, worker.exec.deserialize 871ms       
unix:///tmp/frisky-sock-u2zmrkpl/worker-2380-0.sock       43          3         7.3m      5.8m    worker.exec.call 5.8m, worker.paused 1.5m, worker.exec.deserialize 916ms       
unix:///tmp/frisky-sock-u2zmrkpl/worker-2378-0.sock       43          3         7.3m      5.7m    worker.exec.call 5.7m, worker.paused 1.5m, worker.exec.deserialize 689ms       
unix:///tmp/frisky-sock-u2zmrkpl/worker-2410-0.sock       43          3         7.2m      5.8m    worker.exec.call 5.7m, worker.paused 1.4m, worker.exec.deserialize 819ms       
unix:///tmp/frisky-sock-u2zmrkpl/worker-2381-0.sock       43          3         7.1m      5.6m    worker.exec.call 5.6m, worker.paused 1.6m, worker.exec.deserialize 877ms       
unix:///tmp/frisky-sock-u2zmrkpl/worker-2398-0.sock       43          3         7.1m      5.7m    worker.exec.call 5.6m, worker.paused 1.5m, worker.exec.deserialize 921ms       
unix:///tmp/frisky-sock-u2zmrkpl/worker-2391-0.sock       43          3         7.1m      5.6m    worker.exec.call 5.6m, worker.paused 1.5m, worker.exec.deserialize 808ms       
unix:///tmp/frisky-sock-u2zmrkpl/worker-2389-0.sock       43          3         7.1m      5.6m    worker.exec.call 5.6m, worker.paused 1.5m, worker.exec.deserialize 965ms       
unix:///tmp/frisky-sock-u2zmrkpl/worker-2414-0.sock       43          3         7.1m      5.6m    worker.exec.call 5.6m, worker.paused 1.5m, worker.exec.deserialize 749ms       
unix:///tmp/frisky-sock-u2zmrkpl/worker-2407-0.sock       43          3         7.0m      5.6m    worker.exec.call 5.5m, worker.paused 1.5m, worker.exec.deserialize 710ms       
unix:///tmp/frisky-sock-u2zmrkpl/worker-2427-0.sock       43          3         7.0m      5.5m    worker.exec.call 5.5m, worker.paused 1.4m, worker.exec.deserialize 865ms       
unix:///tmp/frisky-sock-u2zmrkpl/worker-2400-0.sock       43          3         7.0m      5.5m    worker.exec.call 5.5m, worker.paused 1.4m, worker.exec.deserialize 892ms       
unix:///tmp/frisky-sock-u2zmrkpl/worker-2415-0.sock       43          3         7.0m      5.6m    worker.exec.call 5.5m, worker.paused 1.4m, worker.exec.deserialize 765ms       
unix:///tmp/frisky-sock-u2zmrkpl/worker-2424-0.sock       43          3         6.9m      5.4m    worker.exec.call 5.4m, worker.paused 1.5m, worker.exec.deserialize 644ms       
unix:///tmp/frisky-sock-u2zmrkpl/worker-2409-0.sock       43          3         6.9m      5.4m    worker.exec.call 5.4m, worker.paused 1.5m, worker.exec.deserialize 911ms       
unix:///tmp/frisky-sock-u2zmrkpl/worker-2420-0.sock       43          3         6.8m      5.4m    worker.exec.call 5.3m, worker.paused 1.5m, worker.exec.deserialize 655ms       
unix:///tmp/frisky-sock-u2zmrkpl/worker-2386-0.sock       50          4         6.8m      5.8m    worker.exec.call 5.8m, worker.paused 59.0s, worker.exec.deserialize 816ms      
