t_mono,t_wall,n_procs,client_rss_mb,workers_rss_mb,tree_rss_mb,tree_cpu_pct,sys_used_mb,sys_available_mb,swap_used_mb,net_recv_mb,net_sent_mb,disk_read_mb,workers
41.4198,1788884224.4602,2,22.98,12.24,35.22,0.0,1088.0,62165.5,0.0,155.139,0.499,302.540,1766:12
41.5233,1788884224.5638,2,22.98,12.24,35.22,0.0,1088.0,62165.4,0.0,155.139,0.499,302.540,1766:12
41.6271,1788884224.6675,2,23.27,12.24,35.51,9.6,1088.0,62165.4,0.0,155.139,0.499,302.540,1766:12
41.7306,1788884224.7711,2,36.54,12.24,48.77,96.6,1095.5,62157.9,0.0,155.139,0.499,302.540,1766:12
41.8341,1788884224.8746,2,39.65,12.24,51.89,106.3,1097.1,62156.3,0.0,155.139,0.499,302.595,1766:12
41.9380,1788884224.9785,2,52.06,12.24,64.30,350.3,1100.7,62152.8,0.0,155.139,0.499,302.739,1766:12
42.0463,1788884225.0868,2,55.61,12.24,67.85,1157.9,1104.3,62149.2,0.0,155.139,0.499,302.739,1766:12
42.1497,1788884225.1902,2,61.12,12.24,73.36,106.2,1107.4,62146.0,0.0,155.139,0.499,302.739,1766:12
42.2533,1788884225.2938,2,64.77,12.24,77.01,77.3,1110.5,62143.0,0.0,155.139,0.499,304.415,1766:12
42.3568,1788884225.3972,2,72.09,12.24,84.33,106.2,1117.2,62136.2,0.0,155.139,0.499,304.415,1766:12
42.4604,1788884225.5009,2,74.42,12.24,86.66,86.9,1117.0,62136.5,0.0,155.139,0.499,304.497,1766:12
42.5640,1788884225.6045,2,76.98,12.24,89.22,106.1,1120.5,62133.0,0.0,155.139,0.499,304.497,1766:12
42.6676,1788884225.7081,2,78.65,12.24,90.89,86.8,1119.7,62133.8,0.0,155.139,0.499,305.376,1766:12
42.7713,1788884225.8117,2,90.84,12.24,103.07,106.2,1125.4,62128.1,0.0,155.139,0.499,305.431,1766:12
42.8748,1788884225.9153,2,99.22,12.24,111.46,96.6,1136.1,62117.4,0.0,155.139,0.499,305.431,1766:12
42.9784,1788884226.0188,2,99.83,12.24,112.07,96.6,1136.0,62117.4,0.0,155.139,0.499,305.431,1766:12
43.0819,1788884226.1224,2,110.29,12.24,122.53,106.1,1143.9,62109.6,0.0,155.139,0.499,305.431,1766:12
43.1856,1788884226.2260,2,110.66,12.24,122.90,96.5,1147.7,62105.7,0.0,155.139,0.499,305.431,1766:12
43.2891,1788884226.3296,2,110.84,12.24,123.08,96.5,1147.8,62105.7,0.0,155.139,0.499,305.431,1766:12
43.3928,1788884226.4332,2,112.11,12.24,124.34,96.6,1147.4,62106.0,0.0,155.139,0.499,305.552,1766:12
43.4963,1788884226.5368,2,113.80,12.24,126.04,106.3,1147.4,62106.1,0.0,155.139,0.499,305.552,1766:12
43.5998,1788884226.6402,2,117.44,12.24,129.68,96.5,1151.3,62102.2,0.0,155.139,0.499,305.552,1766:12
43.7034,1788884226.7439,2,118.91,12.24,131.15,106.2,1151.6,62101.8,0.0,155.139,0.499,305.626,1766:12
43.8070,1788884226.8474,2,121.33,12.24,133.57,87.0,1153.3,62100.1,0.0,155.139,0.499,305.626,1766:12
43.9105,1788884226.9510,2,129.44,12.24,141.68,106.1,1165.5,62088.0,0.0,155.139,0.499,305.626,1766:12
44.0142,1788884227.0546,2,129.59,12.24,141.83,96.6,1165.5,62088.0,0.0,155.139,0.499,305.626,1766:12
44.1177,1788884227.1581,2,131.30,12.24,143.54,106.3,1165.5,62087.9,0.0,155.139,0.499,305.626,1766:12
44.2212,1788884227.2617,2,131.71,12.24,143.95,96.5,1165.5,62087.9,0.0,155.139,0.499,305.626,1766:12
44.3249,1788884227.3653,2,138.50,12.24,150.74,96.6,1165.5,62087.9,0.0,155.139,0.499,305.626,1766:12
44.4284,1788884227.4689,2,144.47,12.24,156.71,106.2,1166.7,62086.7,0.0,155.139,0.499,305.626,1766:12
44.5320,1788884227.5724,2,171.30,12.24,183.54,96.5,1175.4,62078.0,0.0,155.139,0.499,305.626,1766:12
44.6356,1788884227.6760,2,177.25,12.24,189.49,96.6,1176.2,62077.3,0.0,155.139,0.499,305.817,1766:12
44.7391,1788884227.7796,2,179.39,12.24,191.63,96.6,1179.3,62074.2,0.0,155.139,0.499,305.817,1766:12
44.8426,1788884227.8831,2,180.69,12.24,192.93,29.0,1178.9,62074.5,0.0,155.145,0.501,305.817,1766:12
44.9462,1788884227.9867,2,229.40,12.24,241.64,38.6,1186.8,62066.6,0.0,155.285,0.502,305.821,1766:12
45.0497,1788884228.0902,3,232.75,44.08,276.83,0.0,1200.2,62053.2,0.0,155.285,0.502,305.821,1766:12;1792:32
45.1540,1788884228.1945,3,232.75,69.30,302.05,963.7,1212.8,62040.6,0.0,155.285,0.502,305.821,1766:12;1792:57
45.2625,1788884228.3030,3,232.75,89.14,321.89,529.3,1227.8,62025.6,0.0,155.285,0.502,305.821,1766:12;1792:77
45.3663,1788884228.4067,3,232.75,107.02,339.77,96.5,1244.8,62008.7,0.0,155.285,0.502,305.821,1766:12;1792:95
45.4699,1788884228.5103,3,236.81,114.68,351.49,96.3,1250.9,62002.5,0.0,155.285,0.503,305.821,1766:12;1792:102
45.5737,1788884228.6141,3,236.81,114.68,351.50,38.5,1250.9,62002.6,0.0,155.292,0.504,305.821,1766:12;1792:102
45.6776,1788884228.7180,3,237.64,114.68,352.33,48.1,1251.0,62002.5,0.0,155.292,0.505,305.821,1766:12;1792:102
45.7814,1788884228.8219,3,238.36,114.68,353.04,9.6,1250.9,62002.5,0.0,155.302,0.506,305.841,1766:12;1792:102
45.8852,1788884228.9257,3,239.16,114.68,353.85,19.3,1250.9,62002.5,0.0,155.313,0.507,305.841,1766:12;1792:102
45.9888,1788884229.0292,3,240.80,114.68,355.48,19.3,1250.9,62002.5,0.0,155.334,0.508,305.841,1766:12;1792:102
46.0923,1788884229.1328,3,241.62,114.68,356.31,9.7,1251.7,62001.8,0.0,155.344,0.509,305.841,1766:12;1792:102
46.1959,1788884229.2364,3,242.44,114.68,357.12,9.6,1252.4,62001.1,0.0,155.355,0.510,305.841,1766:12;1792:102
46.2998,1788884229.3402,3,243.25,114.68,357.93,9.6,1253.1,62000.3,0.0,155.366,0.511,305.841,1766:12;1792:102
46.4035,1788884229.4440,3,244.08,114.68,358.77,9.6,1253.9,61999.6,0.0,155.376,0.511,305.841,1766:12;1792:102
46.5073,1788884229.5478,3,244.89,114.69,359.59,19.3,1254.6,61998.8,0.0,155.387,0.512,305.841,1766:12;1792:102
46.6110,1788884229.6515,3,245.71,114.69,360.40,9.6,1255.4,61998.1,0.0,155.397,0.513,305.841,1766:12;1792:102
46.7147,1788884229.7552,3,246.52,114.69,361.21,19.3,1257.1,61996.4,0.0,155.408,0.514,305.841,1766:12;1792:102
46.8186,1788884229.8590,3,248.12,114.69,362.82,19.3,1257.5,61996.0,0.0,155.428,0.515,305.841,1766:12;1792:102
46.9222,1788884229.9627,3,248.96,114.69,363.65,9.6,1259.5,61993.9,0.0,155.439,0.516,305.841,1766:12;1792:102
47.0259,1788884230.0663,3,249.78,114.69,364.47,19.3,1259.5,61993.9,0.0,155.449,0.517,305.841,1766:12;1792:102
47.1298,1788884230.1703,3,250.59,114.69,365.28,9.6,1259.5,61993.9,0.0,155.460,0.518,305.841,1766:12;1792:102
47.2336,1788884230.2740,3,251.40,114.69,366.09,48.1,1259.5,61993.9,0.0,155.470,0.518,305.841,1766:12;1792:102
47.3375,1788884230.3779,3,252.15,114.69,366.84,9.6,1259.5,61993.9,0.0,155.481,0.519,305.841,1766:12;1792:102
47.4413,1788884230.4817,3,252.96,114.69,367.65,19.3,1259.5,61993.9,0.0,155.492,0.520,305.841,1766:12;1792:102
