t_mono,t_wall,n_procs,client_rss_mb,workers_rss_mb,tree_rss_mb,tree_cpu_pct,sys_used_mb,sys_available_mb,swap_used_mb,net_recv_mb,net_sent_mb,disk_read_mb,workers
212.9166,1788885524.9400,2,22.96,12.25,35.21,0.0,1682.7,61570.8,0.0,6460.495,293.399,306.120,2875:12
213.0202,1788885525.0436,2,22.96,12.25,35.21,0.0,1683.1,61570.4,0.0,6460.495,293.399,306.120,2875:12
213.1238,1788885525.1472,2,22.96,12.25,35.21,0.0,1683.1,61570.4,0.0,6460.495,293.399,306.120,2875:12
213.2274,1788885525.2508,2,36.55,12.25,48.80,77.3,1694.1,61559.3,0.0,6460.495,293.399,306.120,2875:12
213.3308,1788885525.3542,2,60.25,12.25,72.50,1410.9,1693.9,61559.6,0.0,6460.495,293.399,306.120,2875:12
213.4365,1788885525.4599,2,71.91,12.25,84.16,96.5,1702.7,61550.8,0.0,6460.495,293.399,306.120,2875:12
213.5400,1788885525.5634,2,96.98,12.25,109.23,106.2,1718.5,61535.0,0.0,6460.495,293.399,306.120,2875:12
213.6436,1788885525.6670,2,115.18,12.25,127.43,96.6,1732.0,61521.5,0.0,6460.496,293.399,306.120,2875:12
213.7471,1788885525.7705,2,119.57,12.25,131.82,96.6,1732.0,61521.5,0.0,6460.496,293.399,306.120,2875:12
213.8507,1788885525.8740,2,171.49,12.25,183.74,96.6,1747.4,61506.1,0.0,6460.496,293.399,306.120,2875:12
213.9542,1788885525.9775,2,223.84,12.25,236.09,77.3,1764.4,61489.1,0.0,6460.640,293.402,306.120,2875:12
214.0577,1788885526.0810,10,231.04,260.49,491.53,18.8,1856.5,61397.0,0.0,6460.640,293.402,306.120,2875:12;2898:31;2899:31;2900:31;2901:31;2902:31;2903:31;2904:31;2905:31
214.1750,1788885526.1984,10,231.04,395.45,626.48,1324.5,1936.6,61316.9,0.0,6460.640,293.402,306.120,2875:12;2898:48;2899:48;2900:48;2901:48;2902:48;2903:47;2904:48;2905:48
214.3206,1788885526.3440,10,231.04,586.82,817.85,930.2,2033.9,61219.6,0.0,6460.640,293.402,306.120,2875:12;2898:72;2899:72;2900:72;2901:72;2902:72;2903:71;2904:72;2905:72
214.4280,1788885526.4514,10,231.04,739.97,971.01,792.1,2151.5,61102.0,0.0,6460.640,293.402,306.120,2875:12;2898:92;2899:91;2900:91;2901:92;2902:90;2903:89;2904:93;2905:91
214.5353,1788885526.5587,10,231.45,810.45,1041.90,792.3,2216.6,61036.8,0.0,6460.640,293.402,306.120,2875:12;2898:102;2899:98;2900:98;2901:102;2902:98;2903:98;2904:103;2905:99
214.6424,1788885526.6658,10,232.30,829.57,1061.88,76.6,2228.5,61024.9,0.0,6460.646,293.404,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
214.7467,1788885526.7701,10,233.75,829.57,1063.33,19.2,2230.3,61023.2,0.0,6460.648,293.404,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
214.8508,1788885526.8742,10,235.15,829.57,1064.73,9.6,2231.0,61022.5,0.0,6460.658,293.405,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
214.9550,1788885526.9784,10,236.03,829.57,1065.60,19.2,2232.0,61021.5,0.0,6460.669,293.406,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
215.0590,1788885527.0824,10,237.61,829.57,1067.18,9.6,2226.1,61027.4,0.0,6460.690,293.407,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
215.1632,1788885527.1865,10,238.38,829.57,1067.95,9.6,2226.5,61027.0,0.0,6460.700,293.408,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
215.2672,1788885527.2906,10,239.40,829.57,1068.97,38.4,2227.8,61025.7,0.0,6460.711,293.409,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
215.3713,1788885527.3947,10,240.21,829.57,1069.79,9.6,2228.5,61024.9,0.0,6460.721,293.410,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
215.4754,1788885527.4988,10,241.08,829.57,1070.66,19.2,2229.5,61024.0,0.0,6460.732,293.411,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
215.5794,1788885527.6028,10,241.09,829.60,1070.68,0.0,2221.6,61031.8,0.0,6460.732,293.411,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
215.6836,1788885527.7070,10,241.91,829.60,1071.51,9.6,2222.4,61031.1,0.0,6460.742,293.412,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
215.7879,1788885527.8112,10,242.75,829.60,1072.35,9.6,2223.4,61030.1,0.0,6460.753,293.412,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
215.8921,1788885527.9154,10,244.34,829.60,1073.93,19.2,2224.5,61029.0,0.0,6460.774,293.413,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
215.9963,1788885528.0197,10,244.42,829.60,1074.02,9.6,2212.3,61041.2,0.0,6460.774,293.414,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
216.1005,1788885528.1239,10,245.25,829.60,1074.85,9.6,2213.3,61040.2,0.0,6460.784,293.415,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
216.2047,1788885528.2281,10,246.09,829.60,1075.69,9.6,2214.0,61039.5,0.0,6460.795,293.416,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
216.3089,1788885528.3322,10,246.92,829.60,1076.52,19.2,2215.0,61038.5,0.0,6460.805,293.416,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
216.4130,1788885528.4364,10,247.75,829.60,1077.35,48.0,2215.7,61037.7,0.0,6460.816,293.417,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
216.5173,1788885528.5406,10,247.75,829.60,1077.35,0.0,2215.7,61037.7,0.0,6460.816,293.417,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
216.6214,1788885528.6447,10,248.57,829.62,1078.19,9.6,2216.7,61036.8,0.0,6460.826,293.418,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
216.7254,1788885528.7488,10,249.38,829.62,1079.01,9.6,2217.7,61035.8,0.0,6460.837,293.419,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
216.8296,1788885528.8529,10,251.04,829.62,1080.66,19.2,2219.1,61034.3,0.0,6460.858,293.421,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
216.9337,1788885528.9571,10,251.90,829.62,1081.52,9.6,2220.1,61033.4,0.0,6460.868,293.421,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
217.0379,1788885529.0613,10,252.86,829.62,1082.48,28.8,2208.7,61044.8,0.0,6460.878,293.422,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
217.1421,1788885529.1654,10,253.59,829.62,1083.21,0.0,2209.1,61044.4,0.0,6460.889,293.422,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
217.2463,1788885529.2696,10,254.40,829.62,1084.03,9.6,2209.8,61043.6,0.0,6460.899,293.423,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
217.3504,1788885529.3738,10,254.49,829.62,1084.12,19.2,2210.2,61043.3,0.0,6460.899,293.424,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
217.4547,1788885529.4780,10,256.10,829.62,1085.72,28.8,2211.6,61041.9,0.0,6460.920,293.425,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
217.5588,1788885529.5822,10,257.00,829.64,1086.64,19.2,2205.0,61048.5,0.0,6460.930,293.426,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
217.6630,1788885529.6864,10,257.83,829.64,1087.47,19.2,2206.0,61047.5,0.0,6460.941,293.427,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
217.7672,1788885529.7906,10,258.67,829.64,1088.31,19.2,2207.0,61046.5,0.0,6460.951,293.428,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
217.8714,1788885529.8948,10,259.49,829.64,1089.14,9.6,2208.0,61045.5,0.0,6460.962,293.429,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
217.9756,1788885529.9989,10,260.33,829.64,1089.98,9.6,2170.4,61083.1,0.0,6460.972,293.429,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
218.0798,1788885530.1032,10,261.17,829.64,1090.81,28.8,2123.9,61129.5,0.0,6460.982,293.430,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
218.1840,1788885530.2074,10,261.91,829.64,1091.55,9.6,2124.7,61128.8,0.0,6460.993,293.430,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
218.2881,1788885530.3115,10,262.82,829.64,1092.46,19.2,2125.7,61127.8,0.0,6461.003,293.432,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
218.3922,1788885530.4156,10,263.64,829.64,1093.29,9.6,2126.3,61127.2,0.0,6461.013,293.432,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
218.4964,1788885530.5197,10,264.47,829.64,1094.12,9.6,2127.4,61126.1,0.0,6461.024,293.433,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
218.6004,1788885530.6238,10,265.32,829.65,1094.97,19.2,2128.8,61124.6,0.0,6461.036,293.435,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
218.7046,1788885530.7279,10,266.15,829.65,1095.80,19.2,2129.8,61123.7,0.0,6461.046,293.436,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
218.8088,1788885530.8321,10,266.96,829.65,1096.61,9.6,2130.6,61122.9,0.0,6461.058,293.438,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
218.9130,1788885530.9364,10,267.80,829.65,1097.45,9.6,2131.3,61122.2,0.0,6461.068,293.439,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
219.0172,1788885531.0406,10,268.64,829.65,1098.29,9.6,2124.3,61129.2,0.0,6461.079,293.440,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
219.1215,1788885531.1448,10,269.47,829.65,1099.12,9.6,2117.1,61136.4,0.0,6461.089,293.441,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
219.2256,1788885531.2490,10,270.44,829.65,1100.09,48.0,2117.5,61136.0,0.0,6461.099,293.441,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
219.3298,1788885531.3532,10,270.58,829.65,1100.23,19.2,2118.0,61135.5,0.0,6461.110,293.442,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
219.4342,1788885531.4576,10,271.12,829.65,1100.78,19.2,2112.6,61140.9,0.0,6461.112,293.445,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
219.5385,1788885531.5619,10,272.27,829.66,1101.92,9.6,2113.6,61139.9,0.0,6461.132,293.445,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
219.6428,1788885531.6662,10,273.61,829.67,1103.28,38.4,2117.1,61136.4,0.0,6461.143,293.447,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
219.7472,1788885531.7706,10,274.44,829.67,1104.11,9.6,2118.5,61134.9,0.0,6461.154,293.448,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
219.8515,1788885531.8749,10,275.27,829.67,1104.94,9.6,2119.5,61134.0,0.0,6461.164,293.449,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
219.9558,1788885531.9792,10,276.10,829.67,1105.77,19.2,2112.2,61141.2,0.0,6461.175,293.450,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
220.0600,1788885532.0834,10,276.93,829.67,1106.60,9.6,2105.1,61148.4,0.0,6461.185,293.451,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
220.1643,1788885532.1877,10,277.76,829.67,1107.43,9.6,2106.3,61147.1,0.0,6461.196,293.453,306.120,2875:12;2898:102;2899:102;2900:102;2901:102;2902:102;2903:102;2904:103;2905:102
