t_mono,t_wall,n_procs,client_rss_mb,workers_rss_mb,tree_rss_mb,tree_cpu_pct,sys_used_mb,sys_available_mb,swap_used_mb,net_recv_mb,net_sent_mb,disk_read_mb,workers
365.5144,1788883230.5692,2,23.05,12.25,35.29,0.0,1142.9,62110.6,0.0,7054.870,816.157,307.526,2969:12
365.6177,1788883230.6725,2,23.05,12.25,35.29,0.0,1143.2,62110.3,0.0,7054.870,816.157,307.526,2969:12
365.7208,1788883230.7756,2,23.05,12.25,35.29,0.0,1143.2,62110.3,0.0,7054.870,816.157,307.526,2969:12
365.8236,1788883230.8784,2,36.52,12.25,48.77,68.1,1151.1,62102.4,0.0,7054.870,816.162,307.526,2969:12
365.9270,1788883230.9818,2,62.35,12.25,74.59,1401.6,1163.2,62090.3,0.0,7054.870,816.164,307.526,2969:12
366.0335,1788883231.0883,2,74.96,12.25,87.21,97.1,1172.3,62081.2,0.0,7054.870,816.165,307.526,2969:12
366.1364,1788883231.1912,2,101.02,12.25,113.27,97.1,1189.5,62064.0,0.0,7054.870,816.166,307.526,2969:12
366.2394,1788883231.2942,2,118.83,12.25,131.08,106.9,1207.5,62045.9,0.0,7054.870,816.166,307.526,2969:12
366.3423,1788883231.3971,2,132.39,12.25,144.63,97.1,1213.3,62040.2,0.0,7054.870,816.166,307.526,2969:12
366.4454,1788883231.5002,2,176.76,12.25,189.01,97.0,1236.9,62016.6,0.0,7054.870,816.166,307.526,2969:12
366.5485,1788883231.6033,2,178.00,12.25,190.25,9.7,1237.2,62016.3,0.0,7054.876,816.168,307.526,2969:12
366.6515,1788883231.7063,6,232.21,64.00,296.22,38.7,1261.5,61992.0,0.0,7055.014,816.169,307.526,2969:12;2992:13;2993:13;2994:13;2995:13
366.7550,1788883231.8098,6,232.21,150.55,382.77,386.2,1300.5,61952.9,0.0,7055.014,816.169,307.526,2969:12;2992:35;2993:35;2994:34;2995:35
366.8650,1788883231.9198,6,232.21,218.18,450.39,1440.2,1317.5,61936.0,0.0,7055.014,816.169,307.526,2969:12;2992:50;2993:50;2994:50;2995:56
366.9739,1788883232.0287,6,232.21,320.95,553.16,385.6,1364.9,61888.6,0.0,7055.014,816.169,307.526,2969:12;2992:77;2993:77;2994:76;2995:79
367.0776,1788883232.1324,6,232.21,396.39,628.61,405.2,1415.4,61838.0,0.0,7055.014,816.169,307.526,2969:12;2992:96;2993:96;2994:95;2995:98
367.1812,1788883232.2360,6,233.13,427.34,660.46,338.0,1429.2,61824.3,0.0,7055.014,816.170,307.526,2969:12;2992:104;2993:104;2994:104;2995:104
367.2848,1788883232.3396,6,234.15,427.34,661.48,19.3,1429.6,61823.9,0.0,7055.021,816.171,307.526,2969:12;2992:104;2993:104;2994:104;2995:104
367.3882,1788883232.4430,6,236.25,427.34,663.58,19.4,1429.6,61823.9,0.0,7055.032,816.173,307.526,2969:12;2992:104;2993:104;2994:104;2995:104
367.4914,1788883232.5462,6,236.25,427.34,663.58,0.0,1429.6,61823.9,0.0,7055.032,816.173,307.526,2969:12;2992:104;2993:104;2994:104;2995:104
367.5944,1788883232.6492,6,237.12,427.34,664.46,19.4,1431.1,61822.4,0.0,7055.043,816.173,307.526,2969:12;2992:104;2993:104;2994:104;2995:104
367.6975,1788883232.7523,6,237.98,427.34,665.31,0.0,1431.8,61821.6,0.0,7055.053,816.174,307.526,2969:12;2992:104;2993:104;2994:104;2995:104
367.8006,1788883232.8554,6,239.65,427.34,666.99,29.1,1433.6,61819.9,0.0,7055.074,816.176,307.526,2969:12;2992:104;2993:104;2994:104;2995:104
367.9036,1788883232.9584,6,240.50,427.34,667.84,9.7,1434.3,61819.2,0.0,7055.085,816.177,307.526,2969:12;2992:104;2993:104;2994:104;2995:104
368.0067,1788883233.0615,6,241.34,427.34,668.67,9.7,1435.6,61817.9,0.0,7055.095,816.178,307.526,2969:12;2992:104;2993:104;2994:104;2995:104
