t_mono,t_wall,n_procs,client_rss_mb,workers_rss_mb,tree_rss_mb,tree_cpu_pct,sys_used_mb,sys_available_mb,swap_used_mb,net_recv_mb,net_sent_mb,disk_read_mb,workers
69.2002,1788891169.0078,2,73.36,12.22,85.58,0.0,1557.8,125199.6,0.0,154.835,0.443,309.452,1884:12
69.3038,1788891169.1115,2,73.36,12.22,85.58,0.0,1557.8,125199.6,0.0,154.835,0.443,309.452,1884:12
69.4076,1788891169.2152,2,73.36,12.22,85.58,0.0,1557.8,125199.6,0.0,154.835,0.443,309.452,1884:12
69.5112,1788891169.3188,2,79.45,12.22,91.66,77.2,1561.3,125196.1,0.0,154.835,0.443,309.452,1884:12
69.6148,1788891169.4224,2,84.01,12.22,96.23,86.9,1564.4,125193.1,0.0,154.835,0.443,310.479,1884:12
69.7183,1788891169.5260,2,93.01,12.22,105.23,96.6,1564.0,125193.4,0.0,154.835,0.443,311.183,1884:12
69.8219,1788891169.6295,2,95.08,12.22,107.30,96.6,1565.3,125192.1,0.0,154.835,0.443,311.265,1884:12
69.9254,1788891169.7331,2,95.20,12.22,107.41,96.6,1565.0,125192.5,0.0,154.835,0.443,311.265,1884:12
70.0289,1788891169.8366,2,98.45,12.22,110.67,106.2,1568.0,125189.4,0.0,154.835,0.443,312.144,1884:12
70.1326,1788891169.9402,2,110.55,12.22,122.77,86.9,1573.0,125184.4,0.0,154.835,0.443,312.198,1884:12
70.2362,1788891170.0438,2,119.46,12.22,131.68,106.2,1578.3,125179.1,0.0,154.835,0.443,312.198,1884:12
70.3397,1788891170.1474,2,120.20,12.22,132.42,96.6,1579.1,125178.3,0.0,154.835,0.443,312.198,1884:12
70.4433,1788891170.2510,2,129.12,12.22,141.34,96.5,1590.1,125167.3,0.0,154.835,0.443,312.198,1884:12
70.5469,1788891170.3545,2,129.25,12.22,141.47,106.3,1589.9,125167.5,0.0,154.835,0.443,312.198,1884:12
70.6504,1788891170.4581,2,130.36,12.22,142.58,96.5,1589.4,125168.0,0.0,154.835,0.443,312.319,1884:12
70.7540,1788891170.5616,2,132.43,12.22,144.65,106.2,1590.7,125166.7,0.0,154.835,0.443,312.319,1884:12
70.8575,1788891170.6652,2,135.81,12.22,148.03,86.9,1593.8,125163.6,0.0,154.835,0.443,312.319,1884:12
70.9611,1788891170.7688,2,139.23,12.22,151.45,106.2,1596.4,125161.0,0.0,154.835,0.443,312.319,1884:12
71.0647,1788891170.8723,2,139.67,12.22,151.89,96.6,1595.9,125161.6,0.0,154.835,0.443,312.394,1884:12
71.1683,1788891170.9759,2,149.97,12.22,162.19,106.2,1609.6,125147.8,0.0,154.835,0.443,312.394,1884:12
71.2718,1788891171.0795,2,149.66,12.22,161.88,96.6,1609.4,125148.0,0.0,154.835,0.443,312.394,1884:12
71.3754,1788891171.1831,2,149.78,12.22,162.00,106.1,1609.0,125148.4,0.0,154.835,0.443,312.394,1884:12
71.4790,1788891171.2867,2,151.38,12.22,163.59,96.6,1609.0,125148.4,0.0,154.835,0.443,312.394,1884:12
71.5826,1788891171.3903,2,151.79,12.22,164.01,96.5,1609.0,125148.5,0.0,154.835,0.443,312.394,1884:12
71.6863,1788891171.4939,2,174.75,12.22,186.97,106.2,1612.4,125145.0,0.0,154.835,0.443,312.401,1884:12
71.7898,1788891171.5975,2,179.45,12.22,191.66,86.9,1613.5,125143.9,0.0,154.835,0.443,312.585,1884:12
71.8934,1788891171.7011,10,183.02,247.13,430.15,28.1,1707.9,125049.6,0.0,154.835,0.443,312.585,1884:12;1892:29;1893:30;1894:29;1895:29;1896:30;1897:30;1898:29;1899:29
72.0260,1788891171.8337,10,183.02,403.78,586.80,1280.8,1805.7,124951.7,0.0,154.835,0.443,312.585,1884:12;1892:47;1893:48;1894:49;1895:54;1896:49;1897:48;1898:49;1899:49
72.1794,1788891171.9870,10,183.02,596.19,779.21,858.7,1915.1,124842.3,0.0,154.835,0.443,312.585,1884:12;1892:68;1893:72;1894:74;1895:79;1896:74;1897:72;1898:71;1899:74
72.2869,1788891172.0945,10,183.02,746.59,929.61,817.8,2042.8,124714.6,0.0,154.835,0.443,312.585,1884:12;1892:86;1893:92;1894:93;1895:96;1896:93;1897:92;1898:88;1899:93
72.3945,1788891172.2021,10,183.46,821.07,1004.54,716.9,2104.2,124653.2,0.0,154.835,0.443,312.585,1884:12;1892:97;1893:102;1894:102;1895:102;1896:103;1897:102;1898:98;1899:102
