t_mono,t_wall,n_procs,client_rss_mb,workers_rss_mb,tree_rss_mb,tree_cpu_pct,sys_used_mb,sys_available_mb,swap_used_mb,net_recv_mb,net_sent_mb,disk_read_mb,workers
353.8147,1788885665.8381,2,22.95,12.27,35.23,0.0,1166.1,62087.3,0.0,12819.800,609.317,306.640,5475:12
353.9182,1788885665.9416,2,22.95,12.27,35.23,0.0,1166.2,62087.3,0.0,12819.800,609.317,306.640,5475:12
354.0217,1788885666.0451,2,22.95,12.27,35.23,0.0,1166.2,62087.3,0.0,12819.800,609.317,306.640,5475:12
354.1252,1788885666.1486,2,36.56,12.27,48.84,77.4,1174.5,62079.0,0.0,12819.800,609.317,306.640,5475:12
354.2290,1788885666.2524,2,60.12,12.27,72.39,1412.2,1177.5,62076.0,0.0,12819.800,609.317,306.640,5475:12
354.3341,1788885666.3575,2,72.07,12.27,84.35,96.7,1186.6,62066.9,0.0,12819.800,609.317,306.640,5475:12
354.4375,1788885666.4609,2,97.62,12.27,109.89,96.7,1202.7,62050.7,0.0,12819.800,609.317,306.640,5475:12
354.5409,1788885666.5642,2,115.81,12.27,128.09,106.5,1222.9,62030.6,0.0,12819.800,609.317,306.640,5475:12
354.6442,1788885666.6676,2,125.75,12.27,138.02,96.7,1224.4,62029.0,0.0,12819.800,609.317,306.640,5475:12
354.7476,1788885666.7710,2,171.88,12.27,184.15,106.5,1246.1,62007.3,0.0,12819.800,609.317,306.640,5475:12
354.8509,1788885666.8743,2,176.44,12.27,188.71,29.0,1254.3,61999.2,0.0,12819.806,609.318,306.640,5475:12
354.9543,1788885666.9777,2,230.99,12.27,243.26,38.7,1261.9,61991.5,0.0,12819.946,609.320,306.640,5475:12
355.0577,1788885667.0811,6,230.99,139.62,370.61,0.0,1326.2,61927.3,0.0,12819.946,609.320,306.640,5475:12;5498:32;5499:32;5500:32;5501:32
355.1710,1788885667.1944,6,230.99,244.29,475.28,1173.3,1365.7,61887.8,0.0,12819.946,609.320,306.640,5475:12;5498:63;5499:61;5500:51;5501:57
355.2887,1788885667.3121,6,230.99,324.60,555.59,644.5,1426.8,61826.7,0.0,12819.946,609.320,306.640,5475:12;5498:81;5499:80;5500:74;5501:78
355.3925,1788885667.4158,6,230.99,393.75,624.74,376.0,1491.9,61761.6,0.0,12819.946,609.320,306.640,5475:12;5498:97;5499:96;5500:93;5501:96
355.4962,1788885667.5195,6,231.97,420.84,652.80,308.2,1508.5,61745.0,0.0,12819.946,609.320,306.640,5475:12;5498:102;5499:102;5500:102;5501:102
355.6000,1788885667.6233,6,232.23,420.84,653.07,19.3,1509.3,61744.2,0.0,12819.952,609.322,306.640,5475:12;5498:102;5499:102;5500:102;5501:102
355.7038,1788885667.7272,6,234.86,420.84,655.70,19.3,1512.3,61741.2,0.0,12819.963,609.322,306.640,5475:12;5498:102;5499:102;5500:102;5501:102
355.8077,1788885667.8310,6,235.93,420.84,656.77,19.3,1513.1,61740.4,0.0,12819.974,609.323,306.640,5475:12;5498:102;5499:102;5500:102;5501:102
355.9115,1788885667.9349,6,236.80,420.84,657.63,19.3,1514.2,61739.2,0.0,12819.984,609.325,306.640,5475:12;5498:102;5499:102;5500:102;5501:102
356.0152,1788885668.0386,6,237.62,420.84,658.46,9.6,1503.9,61749.6,0.0,12819.995,609.326,306.640,5475:12;5498:102;5499:102;5500:102;5501:102
356.1190,1788885668.1424,6,238.48,420.84,659.31,9.7,1504.3,61749.1,0.0,12820.005,609.326,306.640,5475:12;5498:102;5499:102;5500:102;5501:102
356.2226,1788885668.2460,6,239.32,420.84,660.16,19.3,1505.3,61748.1,0.0,12820.016,609.327,306.640,5475:12;5498:102;5499:102;5500:102;5501:102
