t_mono,t_wall,n_procs,client_rss_mb,workers_rss_mb,tree_rss_mb,tree_cpu_pct,sys_used_mb,sys_available_mb,swap_used_mb,workers
110778.0121,1788877079.2017,2,23.75,12.88,36.62,0.0,14583.4,41458.8,2373.0,3183768:13
110778.1203,1788877079.3098,2,23.75,12.88,36.62,0.0,14582.4,41459.8,2373.0,3183768:13
110778.2284,1788877079.4179,2,23.75,12.88,36.62,0.0,14583.2,41459.1,2373.0,3183768:13
110778.3373,1788877079.5268,2,30.28,12.88,43.15,90.6,14585.1,41457.1,2373.0,3183768:13
110778.4477,1788877079.6373,2,38.96,12.88,51.84,92.4,14591.8,41450.4,2373.0,3183768:13
110778.5558,1788877079.7454,2,39.34,12.88,52.21,100.7,14591.2,41451.0,2373.0,3183768:13
110778.6651,1788877079.8547,2,45.65,12.88,58.52,100.3,14595.2,41447.1,2373.0,3183768:13
110778.7748,1788877079.9644,2,58.15,12.88,71.02,1066.5,14604.0,41438.2,2373.0,3183768:13
110778.8836,1788877080.0731,2,63.52,12.88,76.40,101.2,14607.5,41434.8,2373.0,3183768:13
110778.9923,1788877080.1818,2,72.31,12.88,85.19,92.3,14614.3,41427.9,2373.0,3183768:13
110779.1006,1788877080.2901,2,77.94,12.88,90.81,108.0,14618.0,41424.2,2373.0,3183768:13
110779.2118,1788877080.4013,2,82.59,12.88,95.47,97.2,14622.7,41419.5,2373.0,3183768:13
110779.3252,1788877080.5147,2,86.97,12.88,99.84,99.8,14629.6,41412.6,2373.0,3183768:13
110779.4351,1788877080.6246,2,97.09,12.88,109.97,98.8,14633.3,41408.9,2373.0,3183768:13
110779.5464,1788877080.7359,2,108.14,12.88,121.02,100.2,14641.7,41400.6,2373.0,3183768:13
110779.6562,1788877080.8457,2,124.04,12.88,136.91,101.5,14655.2,41387.0,2373.0,3183768:13
110779.7645,1788877080.9540,2,131.50,12.88,144.37,99.5,14661.8,41380.4,2373.0,3183768:13
110779.8751,1788877081.0646,2,141.06,12.88,153.94,100.2,14670.4,41371.8,2373.0,3183768:13
110779.9848,1788877081.1744,2,151.36,12.88,164.24,100.4,14681.2,41361.0,2373.0,3183768:13
110780.0944,1788877081.2839,2,155.24,12.88,168.11,100.6,14685.4,41356.8,2373.0,3183768:13
110780.2037,1788877081.3932,2,155.61,12.88,168.49,92.5,14689.4,41352.9,2373.0,3183768:13
110780.3118,1788877081.5013,2,157.24,12.88,170.11,100.3,14691.1,41351.1,2373.0,3183768:13
110780.4215,1788877081.6110,2,158.74,12.88,171.61,109.4,14694.0,41348.2,2373.0,3183768:13
110780.5312,1788877081.7207,2,175.61,12.88,188.49,91.6,14705.9,41336.4,2373.0,3183768:13
110780.6403,1788877081.8299,2,199.11,12.88,211.99,101.7,14713.7,41328.5,2373.0,3183768:13
110780.7485,1788877081.9381,2,206.74,12.88,219.61,101.0,14713.7,41328.5,2373.0,3183768:13
110780.8580,1788877082.0475,2,208.24,12.88,221.11,9.2,14714.9,41327.3,2373.0,3183768:13
110780.9659,1788877082.1555,2,208.24,12.88,221.11,0.0,14717.1,41325.2,2373.0,3183768:13
110781.0747,1788877082.2642,2,208.24,12.88,221.11,0.0,14717.1,41325.2,2373.0,3183768:13
110781.1842,1788877082.3737,6,247.61,95.86,343.48,45.6,14794.8,41247.4,2373.0,3183768:13;3183852:21;3183853:21;3183854:21;3183855:21
110781.3060,1788877082.4956,6,247.61,188.47,436.09,872.3,14860.2,41182.0,2373.0,3183768:13;3183852:44;3183853:44;3183854:44;3183855:44
110781.4592,1788877082.6488,6,247.61,278.26,525.88,592.9,14913.2,41129.1,2373.0,3183768:13;3183852:66;3183853:66;3183854:67;3183855:66
110781.5720,1788877082.7616,6,247.61,363.51,611.12,392.9,14996.6,41045.6,2373.0,3183768:13;3183852:88;3183853:87;3183854:88;3183855:88
110781.6814,1788877082.8710,6,249.36,393.01,642.38,338.3,15020.6,41021.6,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110781.7907,1788877082.9802,6,250.49,393.01,643.50,18.1,15027.5,41014.7,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110781.9017,1788877083.0912,6,253.11,393.01,646.12,44.5,15033.2,41009.0,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110782.0140,1788877083.2035,6,253.24,393.01,646.25,9.0,15038.6,41003.6,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110782.1251,1788877083.3146,6,253.24,393.01,646.25,0.0,15038.6,41003.6,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110782.2401,1788877083.4297,6,253.24,393.01,646.25,0.0,15038.9,41003.3,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110782.3493,1788877083.5388,6,253.24,393.01,646.25,0.0,15038.9,41003.3,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110782.4621,1788877083.6516,6,253.24,393.01,646.25,9.2,15039.4,41002.8,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110782.5720,1788877083.7616,6,253.36,393.01,646.38,0.0,15039.4,41002.8,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110782.6847,1788877083.8743,6,253.36,393.01,646.38,9.2,15040.1,41002.1,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110782.7936,1788877083.9832,6,253.36,393.01,646.38,0.0,15040.1,41002.1,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110782.9044,1788877084.0939,6,253.36,393.01,646.38,0.0,15041.5,41000.7,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110783.0151,1788877084.2047,6,253.36,393.01,646.38,0.0,15041.5,41000.7,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110783.1269,1788877084.3164,6,275.72,393.01,668.73,73.8,15057.0,40985.2,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110783.2353,1788877084.4248,6,297.47,393.01,690.48,92.1,15072.8,40969.4,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110783.3439,1788877084.5334,6,301.27,393.01,694.29,113.6,15076.5,40965.8,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110783.4584,1788877084.6479,6,305.77,393.01,698.79,99.0,15080.1,40962.1,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110783.5695,1788877084.7590,6,310.27,393.01,703.29,100.3,15092.0,40950.3,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110783.6790,1788877084.8686,6,314.90,393.14,708.04,109.6,15092.0,40950.3,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110783.7885,1788877084.9780,6,316.77,393.14,709.91,100.6,15092.0,40950.3,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110783.8980,1788877085.0875,6,320.02,393.14,713.16,78.6,15092.0,40950.3,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110784.0125,1788877085.2020,6,320.02,393.14,713.16,0.0,15092.0,40950.3,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110784.1213,1788877085.3108,6,320.02,393.14,713.16,0.0,15092.0,40950.3,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110784.2303,1788877085.4198,6,320.02,393.14,713.16,0.0,15092.0,40950.3,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110784.3388,1788877085.5283,6,320.02,393.14,713.16,9.2,15092.0,40950.3,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110784.4471,1788877085.6367,6,320.02,393.14,713.16,0.0,15092.0,40950.3,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110784.5573,1788877085.7469,6,320.02,393.14,713.16,0.0,15092.0,40950.3,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110784.6668,1788877085.8564,6,320.02,393.14,713.16,18.0,15092.6,40949.6,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110784.7776,1788877085.9672,6,320.02,393.14,713.16,0.0,15092.9,40949.3,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110784.8875,1788877086.0770,6,320.40,393.14,713.54,0.0,15100.3,40942.0,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110784.9965,1788877086.1860,6,320.40,393.14,713.54,0.0,15100.0,40942.3,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110785.1068,1788877086.2963,6,340.51,393.14,733.64,91.6,15116.0,40926.3,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110785.2160,1788877086.4055,6,371.34,393.14,764.47,99.9,15184.4,40857.8,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110785.3261,1788877086.5156,6,373.44,393.14,766.58,100.6,15225.2,40817.0,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110785.4355,1788877086.6250,6,373.44,393.14,766.58,99.1,15247.0,40795.2,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110785.5466,1788877086.7362,6,373.44,393.14,766.58,100.7,15248.8,40793.4,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110785.6558,1788877086.8453,6,373.82,393.14,766.95,99.5,15248.8,40793.4,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110785.7663,1788877086.9559,6,374.32,393.14,767.45,109.1,15253.0,40789.2,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110785.8765,1788877087.0660,6,375.44,393.14,768.58,45.4,15253.0,40789.2,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110785.9866,1788877087.1762,6,375.44,393.14,768.58,18.0,15270.7,40771.5,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110786.0972,1788877087.2867,6,375.44,393.14,768.58,0.0,15270.7,40771.5,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110786.2076,1788877087.3972,6,375.44,393.14,768.58,0.0,15270.7,40771.6,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110786.3167,1788877087.5063,6,375.44,393.14,768.58,0.0,15283.0,40759.2,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110786.4275,1788877087.6170,6,375.44,393.14,768.58,0.0,15283.0,40759.2,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110786.5393,1788877087.7288,6,375.44,393.14,768.58,0.0,15283.0,40759.3,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110786.6486,1788877087.8382,6,387.77,393.14,780.91,63.0,15299.9,40742.3,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110786.7596,1788877087.9492,6,400.75,393.14,793.89,100.9,15315.7,40726.5,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110786.8686,1788877088.0581,6,400.75,393.14,793.89,101.1,15308.9,40733.3,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110786.9775,1788877088.1670,6,400.75,393.14,793.89,100.5,15309.0,40733.3,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110787.0869,1788877088.2764,6,400.75,393.14,793.89,100.3,15309.0,40733.3,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110787.1966,1788877088.3861,6,400.88,393.14,794.02,99.1,15321.0,40721.2,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110787.3076,1788877088.4971,6,401.00,393.14,794.14,82.3,15321.0,40721.3,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110787.4169,1788877088.6065,6,401.00,393.14,794.14,0.0,15321.2,40721.0,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110787.5289,1788877088.7185,6,401.75,393.14,794.89,27.3,15321.2,40721.0,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110787.6389,1788877088.8284,6,403.75,393.14,796.89,101.1,15321.9,40720.3,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110787.7478,1788877088.9374,6,404.00,393.14,797.13,108.7,15322.4,40719.8,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110787.8582,1788877089.0477,6,404.00,393.14,797.13,100.3,15320.1,40722.1,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110787.9679,1788877089.1574,6,404.00,393.14,797.13,100.7,15320.3,40721.9,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110788.0772,1788877089.2667,6,404.00,393.14,797.13,100.9,15320.2,40722.0,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110788.1862,1788877089.3757,6,404.00,393.14,797.13,100.0,15320.2,40722.0,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110788.2962,1788877089.4857,6,404.00,393.14,797.13,100.4,15320.2,40722.0,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110788.4057,1788877089.5953,6,405.50,393.14,798.63,101.2,15316.2,40726.0,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110788.5144,1788877089.7040,6,407.75,393.14,800.88,100.8,15317.7,40724.5,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110788.6236,1788877089.8131,6,408.75,393.14,801.88,109.7,15317.7,40724.6,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110788.7329,1788877089.9225,6,409.75,393.14,802.88,100.3,15321.5,40720.7,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110788.8426,1788877090.0321,6,409.87,393.14,803.01,99.0,15318.3,40723.9,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110788.9537,1788877090.1432,6,410.62,393.14,803.76,92.0,15310.1,40732.1,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110789.0624,1788877090.2519,6,411.37,393.14,804.51,107.4,15310.1,40732.1,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110789.1741,1788877090.3636,6,412.25,393.14,805.38,98.0,15310.3,40731.9,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110789.2864,1788877090.4759,6,414.12,393.14,807.26,99.2,15311.7,40730.5,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110789.3971,1788877090.5867,6,416.12,393.14,809.26,99.7,15330.2,40712.0,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110789.5075,1788877090.6970,6,418.88,393.14,812.01,99.8,15332.0,40710.2,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110789.6177,1788877090.8072,6,421.00,393.14,814.14,97.7,15323.4,40718.8,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110789.7303,1788877090.9198,6,422.04,393.14,815.18,109.1,15309.7,40732.5,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110789.8402,1788877091.0298,6,424.86,393.14,818.00,110.0,15310.4,40731.8,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110789.9493,1788877091.1389,6,424.86,393.14,818.00,100.2,15291.7,40750.5,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110790.0591,1788877091.2487,6,424.98,393.14,818.12,100.9,15291.4,40750.8,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110790.1681,1788877091.3577,6,425.61,393.14,818.75,100.9,15291.4,40750.8,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110790.2772,1788877091.4667,6,426.48,393.14,819.62,98.0,15291.4,40750.8,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110790.3894,1788877091.5790,6,426.48,393.14,819.62,101.2,15285.3,40756.9,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110790.4981,1788877091.6877,6,431.12,393.14,824.25,91.4,15285.3,40757.0,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110790.6075,1788877091.7970,6,431.67,393.14,824.81,110.4,15285.3,40756.9,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110790.7162,1788877091.9058,6,431.18,393.14,824.31,108.1,15287.5,40754.7,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110790.8273,1788877092.0169,6,431.18,393.14,824.31,99.8,15289.3,40753.0,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110790.9375,1788877092.1270,6,431.18,393.14,824.31,99.4,15282.6,40759.6,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110791.0482,1788877092.2378,6,431.18,393.14,824.31,101.0,15282.6,40759.6,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110791.1571,1788877092.3466,6,431.18,393.14,824.31,99.9,15284.3,40757.9,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110791.2671,1788877092.4566,6,433.07,393.14,826.21,108.7,15289.4,40752.8,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
110791.3776,1788877092.5671,6,434.88,393.14,828.02,100.3,15291.1,40751.1,2373.0,3183768:13;3183852:95;3183853:95;3183854:95;3183855:95
