t_mono,t_wall,n_procs,client_rss_mb,workers_rss_mb,tree_rss_mb,tree_cpu_pct,sys_used_mb,sys_available_mb,swap_used_mb,net_recv_mb,net_sent_mb,disk_read_mb,workers
111653.8360,1788877955.0255,2,24.09,13.12,37.22,0.0,15183.0,40859.2,2374.0,8377.440,3278.126,70627.404,3202402:13
111653.9453,1788877955.1348,2,24.09,13.12,37.22,0.0,15119.6,40922.6,2374.0,8377.828,3278.134,70627.404,3202402:13
111654.0549,1788877955.2444,2,24.09,13.12,37.22,0.0,15119.6,40922.6,2374.0,8378.304,3278.148,70627.404,3202402:13
111654.1640,1788877955.3536,2,46.88,13.12,60.00,529.8,15119.8,40922.4,2374.0,8378.756,3278.164,70627.404,3202402:13
111654.2929,1788877955.4825,2,61.99,13.12,75.12,500.1,15118.6,40923.7,2374.0,8379.025,3278.171,70627.404,3202402:13
111654.4022,1788877955.5918,2,83.57,13.12,96.69,100.0,15118.6,40923.7,2374.0,8379.080,3278.173,70627.404,3202402:13
111654.5122,1788877955.7017,2,106.89,13.12,120.02,91.4,15118.8,40923.4,2374.0,8379.224,3278.178,70627.404,3202402:13
111654.6218,1788877955.8113,2,112.49,13.12,125.62,106.4,15118.8,40923.4,2374.0,8379.280,3278.182,70627.404,3202402:13
111654.7348,1788877955.9243,2,148.37,13.12,161.49,99.3,15118.8,40923.4,2374.0,8379.963,3278.195,70627.404,3202402:13
111654.8452,1788877956.0348,2,154.64,13.12,167.76,36.8,15086.0,40956.2,2374.0,8380.166,3278.198,70627.404,3202402:13
111654.9542,1788877956.1437,2,155.01,13.12,168.14,0.0,15075.9,40966.3,2374.0,8380.709,3278.207,70627.404,3202402:13
111655.0645,1788877956.2541,6,193.89,126.02,319.90,26.7,15090.6,40951.6,2374.0,8380.798,3278.211,70627.404,3202402:13;3202444:28;3202445:28;3202446:28;3202447:28
111655.1820,1788877956.3716,6,193.89,195.26,389.15,1043.3,15108.3,40933.9,2374.0,8381.299,3278.221,70627.404,3202402:13;3202444:44;3202445:45;3202446:44;3202447:48
111655.3239,1788877956.5134,6,193.89,291.79,485.67,444.8,15108.5,40933.7,2374.0,8381.299,3278.222,70627.404,3202402:13;3202444:68;3202445:70;3202446:69;3202447:72
111655.4338,1788877956.6234,6,193.89,370.61,564.50,372.3,15129.2,40913.0,2374.0,8381.917,3278.232,70627.404,3202402:13;3202444:89;3202445:89;3202446:89;3202447:90
111655.5443,1788877956.7338,6,195.39,393.98,589.37,318.4,15144.4,40897.8,2374.0,8381.918,3278.232,70627.404,3202402:13;3202444:95;3202445:95;3202446:96;3202447:96
111655.6544,1788877956.8439,6,197.14,393.98,591.12,18.2,15144.4,40897.8,2374.0,8382.474,3278.246,70627.404,3202402:13;3202444:95;3202445:95;3202446:96;3202447:96
111655.7640,1788877956.9535,6,197.39,393.98,591.37,9.0,15144.4,40897.8,2374.0,8382.474,3278.247,70627.404,3202402:13;3202444:95;3202445:95;3202446:96;3202447:96
111655.8747,1788877957.0643,6,197.51,393.98,591.50,0.0,15133.3,40908.9,2374.0,8383.416,3278.267,70627.404,3202402:13;3202444:95;3202445:95;3202446:96;3202447:96
111655.9882,1788877957.1777,6,197.51,393.98,591.50,0.0,15133.8,40908.4,2374.0,8383.445,3278.268,70627.404,3202402:13;3202444:95;3202445:95;3202446:96;3202447:96
