t_mono,t_wall,n_procs,client_rss_mb,workers_rss_mb,tree_rss_mb,tree_cpu_pct,sys_used_mb,sys_available_mb,swap_used_mb,net_recv_mb,net_sent_mb,disk_read_mb,workers
112125.0974,1788878426.2869,2,23.88,12.88,36.75,0.0,14329.7,41712.6,2373.0,10037.738,3401.608,70742.686,3228196:13
112125.2060,1788878426.3956,2,23.88,12.88,36.75,0.0,14329.9,41712.3,2373.0,10037.738,3401.608,70742.686,3228196:13
112125.3146,1788878426.5042,2,23.88,12.88,36.75,0.0,14331.4,41710.8,2373.0,10037.743,3401.612,70742.686,3228196:13
112125.4233,1788878426.6128,2,30.42,12.88,43.29,89.9,14334.6,41707.6,2373.0,10037.743,3401.612,70742.686,3228196:13
112125.5345,1788878426.7240,2,39.30,12.88,52.18,90.5,14342.2,41700.0,2373.0,10037.748,3401.612,70742.686,3228196:13
112125.6453,1788878426.8348,2,39.43,12.88,52.30,100.8,14342.2,41700.0,2373.0,10037.748,3401.612,70742.686,3228196:13
112125.7541,1788878426.9436,2,45.35,12.88,58.23,109.8,14346.4,41695.8,2373.0,10037.748,3401.612,70742.686,3228196:13
112125.8634,1788878427.0529,2,57.60,12.88,70.48,1047.4,14355.5,41686.7,2373.0,10037.748,3401.612,70742.686,3228196:13
112125.9732,1788878427.1627,2,63.48,12.88,76.35,101.3,14360.7,41681.6,2373.0,10037.749,3401.612,70742.686,3228196:13
112126.0818,1788878427.2713,2,71.88,12.88,84.76,99.3,14368.3,41673.9,2373.0,10037.749,3401.613,70742.686,3228196:13
112126.1926,1788878427.3821,2,77.26,12.88,90.13,100.7,14371.7,41670.5,2373.0,10037.750,3401.613,70742.686,3228196:13
112126.3019,1788878427.4914,2,81.55,12.88,94.43,100.3,14377.6,41664.6,2373.0,10037.750,3401.613,70742.686,3228196:13
112126.4119,1788878427.6015,2,86.30,12.88,99.18,98.8,14381.3,41660.9,2373.0,10037.754,3401.617,70742.686,3228196:13
