t_mono,t_wall,n_procs,client_rss_mb,workers_rss_mb,tree_rss_mb,tree_cpu_pct,sys_used_mb,sys_available_mb,swap_used_mb,workers
110298.4720,1788876599.6616,2,23.50,12.88,36.38,0.0,15031.2,41011.1,2374.2,3171827:13
110298.5808,1788876599.7704,2,23.50,12.88,36.38,0.0,15031.7,41010.5,2374.2,3171827:13
110298.6922,1788876599.8817,2,24.25,12.88,37.12,18.1,15031.7,41010.5,2374.2,3171827:13
110298.8025,1788876599.9920,2,33.31,12.88,46.19,99.3,15035.1,41007.2,2374.2,3171827:13
110298.9133,1788876600.1028,2,40.43,12.88,53.31,91.5,15089.2,40953.0,2374.2,3171827:13
110299.0225,1788876600.2120,2,40.56,12.88,53.43,91.2,15072.8,40969.4,2374.2,3171827:13
110299.1321,1788876600.3216,2,41.56,12.88,54.43,109.5,15064.5,40977.8,2374.2,3171827:13
110299.2417,1788876600.4312,2,41.56,12.88,54.43,101.3,15069.4,40972.9,2374.2,3171827:13
110299.3502,1788876600.5398,2,44.57,12.88,57.44,98.9,15081.0,40961.2,2374.2,3171827:13
110299.4615,1788876600.6510,2,47.69,12.88,60.57,91.5,15080.9,40961.3,2374.2,3171827:13
110299.5708,1788876600.7603,2,48.32,12.88,61.19,101.1,15073.8,40968.4,2374.2,3171827:13
110299.6795,1788876600.8691,2,49.67,12.88,62.55,100.4,15076.1,40966.1,2374.2,3171827:13
110299.7921,1788876600.9816,2,59.42,12.88,72.30,998.0,15081.7,40960.5,2374.2,3171827:13
110299.9033,1788876601.0929,2,61.67,12.88,74.55,101.3,15077.9,40964.3,2374.2,3171827:13
110300.0119,1788876601.2015,2,63.46,12.88,76.34,100.5,15080.1,40962.1,2374.2,3171827:13
110300.1214,1788876601.3110,2,70.24,12.88,83.12,101.6,15097.9,40944.3,2374.2,3171827:13
110300.2297,1788876601.4193,2,70.99,12.88,83.87,90.5,15099.7,40942.5,2374.2,3171827:13
110300.3403,1788876601.5298,2,71.12,12.88,83.99,90.9,15100.3,40942.0,2374.2,3171827:13
110300.4503,1788876601.6398,2,74.61,12.88,87.48,110.5,15097.2,40945.0,2374.2,3171827:13
110300.5588,1788876601.7484,2,76.36,12.88,89.23,88.6,15096.3,40945.9,2374.2,3171827:13
110300.6718,1788876601.8613,2,77.36,12.88,90.23,100.3,15096.0,40946.2,2374.2,3171827:13
110300.7814,1788876601.9709,2,86.39,12.88,99.27,101.5,15108.1,40934.1,2374.2,3171827:13
110300.8897,1788876602.0792,2,86.39,12.88,99.27,91.6,15103.3,40938.9,2374.2,3171827:13
110300.9989,1788876602.1884,2,86.77,12.88,99.64,101.3,15102.8,40939.4,2374.2,3171827:13
110301.1075,1788876602.2970,2,89.66,12.88,102.54,100.9,15102.4,40939.8,2374.2,3171827:13
110301.2165,1788876602.4060,2,89.66,12.88,102.54,101.2,15102.4,40939.8,2374.2,3171827:13
110301.3252,1788876602.5148,2,89.79,12.88,102.66,101.3,15102.9,40939.3,2374.2,3171827:13
110301.4339,1788876602.6234,2,90.04,12.88,102.91,90.8,15104.1,40938.2,2374.2,3171827:13
110301.5440,1788876602.7336,2,93.04,12.88,105.91,101.4,15110.8,40931.4,2374.2,3171827:13
110301.6525,1788876602.8420,2,93.79,12.88,106.66,98.9,15107.5,40934.7,2374.2,3171827:13
110301.7638,1788876602.9533,2,94.29,12.88,107.16,101.3,15107.0,40935.2,2374.2,3171827:13
110301.8723,1788876603.0618,2,97.58,12.88,110.45,101.1,15106.0,40936.2,2374.2,3171827:13
110301.9810,1788876603.1706,2,102.20,12.88,115.08,82.0,15104.8,40937.5,2374.2,3171827:13
110302.0908,1788876603.2803,2,108.02,12.88,120.89,99.7,15105.3,40936.9,2374.2,3171827:13
110302.2010,1788876603.3906,2,115.61,12.88,128.48,101.0,15117.5,40924.7,2374.2,3171827:13
110302.3100,1788876603.4996,2,124.96,12.88,137.84,92.1,15125.6,40916.6,2374.2,3171827:13
110302.4186,1788876603.6081,2,126.09,12.88,138.96,99.9,15133.7,40908.5,2374.2,3171827:13
110302.5287,1788876603.7183,2,126.71,12.88,139.59,100.9,15136.8,40905.4,2374.2,3171827:13
110302.6378,1788876603.8273,2,126.71,12.88,139.59,100.6,15132.1,40910.1,2374.2,3171827:13
110302.7471,1788876603.9366,2,126.84,12.88,139.71,100.1,15133.3,40908.9,2374.2,3171827:13
110302.8570,1788876604.0465,2,127.59,12.88,140.46,101.6,15126.6,40915.7,2374.2,3171827:13
110302.9653,1788876604.1548,2,128.09,12.88,140.96,101.7,15125.9,40916.3,2374.2,3171827:13
110303.0736,1788876604.2631,2,131.81,12.88,144.68,89.2,15129.1,40913.1,2374.2,3171827:13
110303.1857,1788876604.3753,2,143.03,12.88,155.91,100.9,15143.2,40899.0,2374.2,3171827:13
110303.2946,1788876604.4841,2,143.03,12.88,155.91,101.1,15143.9,40898.4,2374.2,3171827:13
110303.4036,1788876604.5931,2,143.53,12.88,156.41,99.6,15135.8,40906.4,2374.2,3171827:13
110303.5139,1788876604.7034,2,143.53,12.88,156.41,91.0,15137.2,40905.1,2374.2,3171827:13
110303.6237,1788876604.8132,2,143.91,12.88,156.78,101.7,15138.3,40903.9,2374.2,3171827:13
110303.7319,1788876604.9214,2,143.91,12.88,156.78,100.8,15138.6,40903.6,2374.2,3171827:13
110303.8410,1788876605.0305,2,144.41,12.88,157.28,100.8,15134.5,40907.7,2374.2,3171827:13
110303.9502,1788876605.1397,2,144.91,12.88,157.78,101.1,15135.8,40906.4,2374.2,3171827:13
110304.0590,1788876605.2485,2,145.03,12.88,157.91,100.4,15136.9,40905.3,2374.2,3171827:13
110304.1685,1788876605.3580,2,145.28,12.88,158.16,91.9,15135.9,40906.3,2374.2,3171827:13
110304.2773,1788876605.4669,2,145.66,12.88,158.53,100.9,15132.0,40910.2,2374.2,3171827:13
110304.3863,1788876605.5758,2,146.28,12.88,159.16,101.1,15132.0,40910.2,2374.2,3171827:13
110304.4951,1788876605.6846,2,149.60,12.88,162.48,91.4,15133.9,40908.3,2374.2,3171827:13
110304.6045,1788876605.7940,2,149.73,12.88,162.60,101.2,15134.4,40907.8,2374.2,3171827:13
110304.7132,1788876605.9028,2,154.20,12.88,167.08,99.8,15140.2,40902.0,2374.2,3171827:13
110304.8235,1788876606.0130,2,154.20,12.88,167.08,101.5,15142.8,40899.4,2374.2,3171827:13
110304.9319,1788876606.1214,2,154.20,12.88,167.08,99.9,15142.8,40899.5,2374.2,3171827:13
110305.0419,1788876606.2315,2,155.68,12.88,168.55,89.9,15148.1,40894.2,2374.2,3171827:13
110305.1532,1788876606.3427,2,155.80,12.88,168.68,107.2,15147.8,40894.4,2374.2,3171827:13
110305.2651,1788876606.4546,2,156.55,12.88,169.43,100.4,15149.6,40892.7,2374.2,3171827:13
110305.3747,1788876606.5642,2,158.18,12.88,171.05,101.4,15150.7,40891.5,2374.2,3171827:13
110305.4831,1788876606.6726,2,171.20,12.88,184.07,101.4,15163.6,40878.6,2374.2,3171827:13
110305.5915,1788876606.7811,2,171.20,12.88,184.07,91.8,15163.0,40879.2,2374.2,3171827:13
110305.7005,1788876606.8900,2,171.20,12.88,184.07,100.9,15163.8,40878.5,2374.2,3171827:13
110305.8095,1788876606.9990,2,171.20,12.88,184.07,100.6,15163.3,40878.9,2374.2,3171827:13
110305.9188,1788876607.1083,2,171.45,12.88,184.32,91.4,15163.3,40878.9,2374.2,3171827:13
110306.0282,1788876607.2178,2,171.45,12.88,184.32,100.1,15164.2,40878.0,2374.2,3171827:13
110306.1382,1788876607.3277,2,174.30,12.88,187.18,100.8,15169.7,40872.5,2374.2,3171827:13
110306.2473,1788876607.4368,2,174.30,12.88,187.18,100.5,15169.9,40872.3,2374.2,3171827:13
110306.3568,1788876607.5463,2,174.30,12.88,187.18,100.9,15169.9,40872.3,2374.2,3171827:13
110306.4657,1788876607.6553,2,174.30,12.88,187.18,92.2,15171.4,40870.8,2374.2,3171827:13
110306.5742,1788876607.7638,2,174.43,12.88,187.30,98.7,15171.0,40871.2,2374.2,3171827:13
110306.6858,1788876607.8753,2,174.68,12.88,187.55,100.9,15173.8,40868.4,2374.2,3171827:13
110306.7948,1788876607.9843,2,174.80,12.88,187.68,100.4,15173.8,40868.4,2374.2,3171827:13
110306.9043,1788876608.0939,2,179.18,12.88,192.05,101.2,15174.2,40868.0,2374.2,3171827:13
110307.0130,1788876608.2026,2,180.80,12.88,193.68,92.4,15174.6,40867.7,2374.2,3171827:13
110307.1213,1788876608.3108,2,185.93,12.88,198.80,98.5,15178.9,40863.3,2374.2,3171827:13
110307.2331,1788876608.4226,2,186.41,12.88,199.29,99.4,15182.5,40859.7,2374.2,3171827:13
110307.3436,1788876608.5332,2,189.16,12.88,202.04,92.3,15185.2,40857.0,2374.2,3171827:13
110307.4519,1788876608.6415,2,207.04,12.88,219.91,92.4,15190.8,40851.5,2374.2,3171827:13
110307.5601,1788876608.7496,2,208.71,12.88,221.59,90.9,15194.3,40847.9,2374.2,3171827:13
110307.6701,1788876608.8597,2,210.71,12.88,223.59,97.3,15184.0,40858.2,2374.2,3171827:13
110307.7832,1788876608.9727,2,220.36,12.88,233.23,101.3,15209.5,40832.7,2374.2,3171827:13
110307.8918,1788876609.0813,2,223.86,12.88,236.73,92.2,15209.2,40833.1,2374.2,3171827:13
110308.0002,1788876609.1898,2,223.86,12.88,236.73,100.4,15208.3,40833.9,2374.2,3171827:13
110308.1099,1788876609.2994,2,227.36,12.88,240.23,100.2,15210.6,40831.6,2374.2,3171827:13
110308.2196,1788876609.4091,2,228.86,12.88,241.73,46.3,15210.0,40832.2,2374.2,3171827:13
110308.3276,1788876609.5171,2,228.86,12.88,241.73,0.0,15207.8,40834.4,2374.2,3171827:13
110308.4363,1788876609.6258,2,228.86,12.88,241.73,0.0,15212.7,40829.5,2374.2,3171827:13
110308.5448,1788876609.7343,3,265.98,22.50,288.48,55.0,15226.2,40816.0,2374.2,3171827:13;3171945:10
110308.6540,1788876609.8435,6,265.98,144.05,410.03,96.3,15290.9,40751.3,2374.2,3171827:13;3171945:33;3171946:33;3171947:33;3171948:33
110308.7748,1788876609.9644,6,265.98,198.95,464.94,1244.1,15321.3,40721.0,2374.2,3171827:13;3171945:45;3171946:44;3171947:48;3171948:49
110308.8955,1788876610.0851,6,265.98,286.55,552.53,416.3,15377.2,40665.0,2374.2,3171827:13;3171945:66;3171946:66;3171947:69;3171948:72
110309.0059,1788876610.1954,6,265.98,361.96,627.94,396.4,15432.7,40609.5,2374.2,3171827:13;3171945:86;3171946:86;3171947:87;3171948:89
110309.1169,1788876610.3064,6,267.48,391.83,659.32,365.5,15458.9,40583.3,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110309.2263,1788876610.4159,6,272.36,391.83,664.19,26.9,15461.2,40581.0,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110309.3377,1788876610.5273,6,272.36,391.83,664.19,9.1,15461.8,40580.4,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110309.4479,1788876610.6374,6,273.48,391.83,665.32,54.5,15462.2,40580.0,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110309.5579,1788876610.7474,6,273.98,391.83,665.82,91.4,15466.7,40575.5,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110309.6674,1788876610.8569,6,273.98,391.83,665.82,9.1,15470.6,40571.6,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110309.7773,1788876610.9669,6,273.98,391.83,665.82,0.0,15470.5,40571.7,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110309.8864,1788876611.0759,6,273.98,391.83,665.82,0.0,15470.5,40571.7,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110309.9947,1788876611.1842,6,273.98,391.83,665.82,0.0,15472.5,40569.7,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110310.1073,1788876611.2968,6,274.11,391.83,665.94,0.0,15485.7,40556.5,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110310.2206,1788876611.4101,6,274.11,391.83,665.94,9.1,15486.2,40556.0,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110310.3302,1788876611.5198,6,274.11,391.83,665.94,0.0,15481.6,40560.6,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110310.4396,1788876611.6291,6,274.11,391.83,665.94,0.0,15482.3,40560.0,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110310.5492,1788876611.7388,6,274.11,391.83,665.94,0.0,15482.0,40560.2,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110310.6583,1788876611.8479,6,274.11,391.83,665.94,0.0,15482.2,40560.0,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110310.7685,1788876611.9580,6,284.79,391.83,676.62,54.7,15497.9,40544.3,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110310.8781,1788876612.0677,6,306.79,391.83,698.62,101.5,15521.3,40520.9,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110310.9865,1788876612.1761,6,309.32,391.83,701.15,54.9,15527.0,40515.2,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110311.0958,1788876612.2853,6,310.32,391.83,702.15,99.2,15529.4,40512.8,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110311.2066,1788876612.3961,6,311.82,391.83,703.65,101.1,15541.0,40501.2,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110311.3154,1788876612.5050,6,314.94,391.83,706.77,110.4,15544.9,40497.3,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110311.4241,1788876612.6136,6,319.69,391.83,711.52,101.4,15556.7,40485.5,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110311.5327,1788876612.7222,6,324.57,391.83,716.40,91.1,15557.0,40485.3,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110311.6424,1788876612.8319,6,327.69,391.83,719.52,100.4,15556.9,40485.3,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110311.7519,1788876612.9414,6,330.82,391.83,722.65,110.1,15560.6,40481.6,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110311.8609,1788876613.0505,6,331.44,391.83,723.27,9.2,15560.8,40481.4,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110311.9697,1788876613.1593,6,331.44,391.83,723.27,0.0,15560.7,40481.5,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110312.0788,1788876613.2684,6,331.44,391.83,723.27,0.0,15567.4,40474.8,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110312.1894,1788876613.3790,6,331.44,391.83,723.27,0.0,15570.8,40471.4,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110312.2979,1788876613.4874,6,331.44,391.83,723.27,18.4,15571.3,40470.9,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110312.4072,1788876613.5967,6,331.44,391.83,723.27,0.0,15571.3,40470.9,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110312.5154,1788876613.7049,6,331.44,391.83,723.27,0.0,15571.3,40470.9,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110312.6239,1788876613.8134,6,331.44,391.83,723.27,0.0,15571.3,40470.9,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110312.7333,1788876613.9228,6,331.44,391.83,723.27,0.0,15573.9,40468.3,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110312.8423,1788876614.0318,6,345.74,391.83,737.57,18.2,15585.1,40457.1,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110312.9520,1788876614.1416,6,384.99,391.83,776.82,91.2,15624.5,40417.7,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110313.0617,1788876614.2513,6,384.48,391.83,776.31,99.9,15640.3,40401.9,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110313.1718,1788876614.3614,6,385.98,391.83,777.81,100.6,15641.1,40401.2,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110313.2812,1788876614.4707,6,387.48,391.83,779.31,100.2,15643.5,40398.7,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110313.3909,1788876614.5805,6,387.48,391.83,779.31,101.3,15643.5,40398.7,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110313.4995,1788876614.6890,6,387.48,391.83,779.31,101.2,15643.5,40398.7,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110313.6082,1788876614.7977,6,387.61,391.83,779.44,100.5,15637.9,40404.3,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110313.7176,1788876614.9071,6,387.61,391.83,779.44,100.3,15638.2,40404.0,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110313.8273,1788876615.0169,6,388.23,391.83,780.06,100.2,15640.2,40402.1,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110313.9371,1788876615.1266,6,388.48,391.83,780.31,9.2,15640.2,40402.1,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110314.0458,1788876615.2353,6,388.48,391.83,780.31,9.2,15640.4,40401.8,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110314.1546,1788876615.3442,6,388.48,391.83,780.31,9.1,15640.4,40401.8,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110314.2650,1788876615.4545,6,388.48,391.83,780.31,0.0,15640.4,40401.8,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110314.3741,1788876615.5636,6,388.48,391.83,780.31,0.0,15640.9,40401.3,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110314.4831,1788876615.6727,6,388.48,391.83,780.31,0.0,15640.9,40401.4,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110314.5920,1788876615.7815,6,388.48,391.83,780.31,0.0,15639.3,40403.0,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110314.7003,1788876615.8898,6,388.48,391.83,780.31,0.0,15639.3,40403.0,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110314.8101,1788876615.9996,6,388.48,391.83,780.31,0.0,15639.3,40403.0,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110314.9203,1788876616.1098,6,401.53,391.83,793.36,53.5,15654.5,40387.7,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110315.0323,1788876616.2219,6,426.40,391.83,818.23,109.1,15676.5,40365.7,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110315.1423,1788876616.3319,6,425.41,391.83,817.25,91.4,15673.8,40368.4,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
110315.2516,1788876616.4412,6,426.91,391.83,818.75,101.0,15673.8,40368.4,2374.2,3171827:13;3171945:95;3171946:95;3171947:95;3171948:95
