t_mono,t_wall,n_procs,client_rss_mb,workers_rss_mb,tree_rss_mb,tree_cpu_pct,sys_used_mb,sys_available_mb,swap_used_mb,net_recv_mb,net_sent_mb,disk_read_mb,workers
111871.6591,1788878172.8486,2,24.12,13.00,37.12,0.0,14003.2,42039.0,2373.0,8969.935,3328.019,70634.510,3219147:13
111871.7708,1788878172.9603,2,24.12,13.00,37.12,0.0,14007.1,42035.1,2373.0,8969.935,3328.019,70634.510,3219147:13
111871.8826,1788878173.0721,2,24.12,13.00,37.12,0.0,14007.4,42034.8,2373.0,8969.936,3328.019,70634.510,3219147:13
111871.9971,1788878173.1866,2,48.27,13.00,61.27,601.2,14020.5,42021.7,2373.0,8969.936,3328.020,70634.510,3219147:13
111872.1253,1788878173.3148,2,63.02,13.00,76.02,426.4,14040.4,42001.9,2373.0,8969.952,3328.022,70634.510,3219147:13
111872.2346,1788878173.4242,2,91.47,13.00,104.47,101.0,14057.1,41985.1,2373.0,8969.952,3328.022,70634.510,3219147:13
111872.3435,1788878173.5330,2,110.12,13.00,123.12,108.4,14076.3,41965.9,2373.0,8969.954,3328.023,70634.510,3219147:13
111872.4545,1788878173.6441,2,124.99,13.00,137.99,97.0,14083.9,41958.3,2373.0,8969.954,3328.023,70634.510,3219147:13
111872.5677,1788878173.7572,2,154.59,13.00,167.59,81.1,14093.7,41948.5,2373.0,8969.967,3328.025,70634.510,3219147:13
111872.6787,1788878173.8682,2,154.59,13.00,167.59,0.0,14093.7,41948.5,2373.0,8969.967,3328.025,70634.510,3219147:13
111872.7899,1788878173.9794,2,154.97,13.00,167.97,0.0,14093.7,41948.5,2373.0,8969.974,3328.026,70634.510,3219147:13
111872.8999,1788878174.0895,2,154.97,13.00,167.97,0.0,14093.3,41948.9,2373.0,8969.974,3328.026,70634.510,3219147:13
111873.0104,1788878174.1999,2,154.97,13.00,167.97,0.0,14084.5,41957.8,2373.0,8969.978,3328.026,70634.510,3219147:13
111873.1200,1788878174.3095,2,154.97,13.00,167.97,0.0,14084.5,41957.8,2373.0,8969.978,3328.026,70634.510,3219147:13
111873.2313,1788878174.4208,6,194.34,100.12,294.46,35.2,14129.5,41912.7,2373.0,8970.120,3328.029,70634.510,3219147:13;3219202:21;3219203:22;3219204:22;3219205:22
111873.3511,1788878174.5406,6,194.34,191.74,386.08,898.1,14190.5,41851.7,2373.0,8970.121,3328.029,70634.510,3219147:13;3219202:47;3219203:44;3219204:45;3219205:44
111873.5119,1788878174.7014,6,194.34,287.20,481.54,620.0,14253.2,41789.1,2373.0,8970.121,3328.029,70634.510,3219147:13;3219202:70;3219203:68;3219204:68;3219205:68
111873.6218,1788878174.8113,6,194.34,368.40,562.74,379.2,14325.8,41716.5,2373.0,8970.121,3328.029,70634.510,3219147:13;3219202:89;3219203:89;3219204:88;3219205:89
111873.7324,1788878174.9220,6,194.59,443.45,638.04,507.6,14491.1,41551.1,2373.0,8970.121,3328.029,70634.510,3219147:13;3219202:108;3219203:107;3219204:107;3219205:110
111873.8481,1788878175.0377,6,195.22,436.51,631.73,755.5,14529.1,41513.1,2373.0,8970.125,3328.033,70634.510,3219147:13;3219202:100;3219203:114;3219204:110;3219205:100
111873.9597,1788878175.1492,6,196.22,410.32,606.54,45.7,14502.2,41540.1,2373.0,8970.126,3328.034,70634.518,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111874.0695,1788878175.2590,6,197.97,410.32,608.29,9.0,14502.2,41540.1,2373.0,8970.133,3328.036,70634.518,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111874.1800,1788878175.3695,6,198.09,410.32,608.42,0.0,14502.2,41540.1,2373.0,8970.134,3328.037,70634.518,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111874.2907,1788878175.4803,6,198.09,410.32,608.42,0.0,14502.1,41540.1,2373.0,8970.136,3328.038,70634.518,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111874.4011,1788878175.5906,6,198.09,410.32,608.42,9.2,14502.0,41540.2,2373.0,8970.136,3328.038,70634.693,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111874.5099,1788878175.6994,6,198.09,410.32,608.42,9.1,14502.0,41540.2,2373.0,8970.136,3328.038,70634.693,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111874.6208,1788878175.8103,6,198.09,410.32,608.42,0.0,14502.2,41540.1,2373.0,8970.136,3328.038,70634.693,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111874.7300,1788878175.9195,6,198.09,410.32,608.42,0.0,14502.2,41540.1,2373.0,8970.138,3328.039,70634.693,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111874.8412,1788878176.0307,6,198.22,410.32,608.54,18.2,14502.4,41539.8,2373.0,8970.138,3328.039,70634.693,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111874.9501,1788878176.1396,6,198.22,410.32,608.54,0.0,14503.1,41539.1,2373.0,8970.138,3328.039,70634.693,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111875.0622,1788878176.2518,6,198.22,410.32,608.54,9.1,14503.1,41539.2,2373.0,8970.138,3328.039,70634.693,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111875.1714,1788878176.3609,6,222.65,410.32,632.97,27.5,14503.3,41538.9,2373.0,8970.267,3328.040,70634.693,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111875.2808,1788878176.4703,6,224.05,410.32,634.38,99.8,14503.3,41538.9,2373.0,8970.267,3328.041,70634.693,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111875.3909,1788878176.5805,6,226.93,410.32,637.25,100.7,14504.0,41538.2,2373.0,8970.267,3328.041,70634.693,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111875.5002,1788878176.6897,6,227.93,410.32,638.25,27.1,14505.0,41537.2,2373.0,8970.267,3328.042,70634.693,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111875.6108,1788878176.8004,6,227.93,410.32,638.25,0.0,14505.0,41537.2,2373.0,8970.271,3328.042,70634.705,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111875.7216,1788878176.9112,6,227.93,410.32,638.25,0.0,14505.0,41537.2,2373.0,8970.271,3328.042,70634.705,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111875.8311,1788878177.0206,6,228.05,410.32,638.38,9.1,14503.1,41539.1,2373.0,8970.271,3328.042,70634.705,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111875.9406,1788878177.1301,6,228.05,410.32,638.38,9.1,14503.4,41538.9,2373.0,8970.271,3328.042,70634.705,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111876.0505,1788878177.2401,6,228.05,410.32,638.38,0.0,14503.6,41538.7,2373.0,8970.273,3328.042,70634.705,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111876.1616,1788878177.3512,6,228.05,410.32,638.38,0.0,14503.6,41538.7,2373.0,8970.273,3328.042,70634.705,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111876.2705,1788878177.4600,6,228.05,410.32,638.38,9.0,14503.6,41538.7,2373.0,8970.273,3328.043,70634.705,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111876.3822,1788878177.5718,6,228.05,410.32,638.38,0.0,14503.6,41538.7,2373.0,8970.273,3328.043,70634.705,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111876.4927,1788878177.6822,6,246.68,410.32,657.01,54.3,14530.6,41511.6,2373.0,8970.387,3328.043,70634.705,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111876.6033,1788878177.7928,6,247.06,410.32,657.38,99.5,14530.6,41511.6,2373.0,8970.387,3328.043,70634.705,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111876.7136,1788878177.9031,6,247.68,410.32,658.01,36.3,14530.6,41511.6,2373.0,8970.387,3328.044,70634.705,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111876.8239,1788878178.0134,6,247.68,410.32,658.01,0.0,14530.6,41511.6,2373.0,8970.387,3328.044,70634.705,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111876.9361,1788878178.1256,6,247.68,410.32,658.01,0.0,14529.0,41513.3,2373.0,8970.387,3328.044,70634.705,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111877.0465,1788878178.2360,6,247.68,410.32,658.01,0.0,14526.9,41515.4,2373.0,8970.387,3328.044,70634.705,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111877.1574,1788878178.3469,6,247.68,410.32,658.01,0.0,14527.1,41515.1,2373.0,8970.387,3328.044,70634.705,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111877.2675,1788878178.4570,6,247.68,410.32,658.01,0.0,14527.1,41515.1,2373.0,8970.387,3328.044,70634.705,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111877.3779,1788878178.5674,6,247.68,410.32,658.01,0.0,14527.1,41515.1,2373.0,8970.387,3328.044,70634.705,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111877.4887,1788878178.6783,6,247.68,410.32,658.01,0.0,14527.1,41515.1,2373.0,8970.387,3328.045,70634.705,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111877.6028,1788878178.7923,6,259.81,410.32,670.14,81.4,14544.6,41497.6,2373.0,8970.467,3328.045,70634.705,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111877.7137,1788878178.9032,6,259.81,410.32,670.14,99.0,14544.6,41497.6,2373.0,8970.467,3328.045,70634.705,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
111877.8247,1788878179.0143,6,260.06,410.32,670.39,72.7,14543.0,41499.2,2373.0,8970.468,3328.046,70634.709,3219147:13;3219202:100;3219203:98;3219204:100;3219205:100
