t_mono,t_wall,n_procs,client_rss_mb,workers_rss_mb,tree_rss_mb,tree_cpu_pct,sys_used_mb,sys_available_mb,swap_used_mb,net_recv_mb,net_sent_mb,disk_read_mb,workers
111598.6548,1788877899.8443,2,23.88,12.75,36.62,0.0,14683.8,41358.4,2374.5,8127.004,3266.936,70622.740,3201800:13
111598.7641,1788877899.9537,2,23.88,12.75,36.62,0.0,14682.2,41360.0,2374.5,8127.005,3266.937,70622.740,3201800:13
111598.8783,1788877900.0678,2,23.88,12.75,36.62,0.0,14662.1,41380.1,2374.5,8127.461,3266.946,70622.740,3201800:13
111598.9920,1788877900.1816,2,47.25,12.75,60.00,527.3,14665.3,41376.9,2374.5,8127.487,3266.947,70622.740,3201800:13
111599.1149,1788877900.3044,2,62.24,12.75,74.99,547.1,14680.8,41361.4,2374.5,8127.736,3266.954,70622.740,3201800:13
111599.2244,1788877900.4139,2,83.14,12.75,95.89,108.7,14691.6,41350.6,2374.5,8127.760,3266.955,70622.740,3201800:13
111599.3343,1788877900.5239,2,106.36,12.75,119.11,97.9,14711.1,41331.2,2374.5,8128.644,3266.973,70622.740,3201800:13
111599.4467,1788877900.6363,2,112.57,12.75,125.32,90.5,14717.2,41325.0,2374.5,8128.645,3266.974,70622.740,3201800:13
111599.5572,1788877900.7468,2,148.70,12.75,161.45,100.3,14740.6,41301.6,2374.5,8128.849,3266.978,70622.740,3201800:13
111599.6675,1788877900.8571,2,154.35,12.75,167.10,45.1,14640.6,41401.6,2374.5,8128.851,3266.978,70622.803,3201800:13
111599.7778,1788877900.9674,6,193.98,76.75,270.73,36.5,14667.4,41374.8,2374.5,8129.074,3266.985,70622.803,3201800:13;3201833:16;3201834:16;3201835:16;3201836:16
111599.8878,1788877901.0773,6,193.98,152.53,346.51,394.2,14683.7,41358.6,2374.5,8129.152,3266.986,70622.803,3201800:13;3201833:35;3201834:35;3201835:35;3201836:35
111599.9993,1788877901.1888,6,193.98,212.06,406.04,1254.6,14687.8,41354.4,2374.5,8129.383,3266.990,70622.803,3201800:13;3201833:51;3201834:47;3201835:53;3201836:49
111600.1101,1788877901.2996,6,193.98,308.05,502.03,424.9,14719.6,41322.7,2374.5,8129.383,3266.990,70622.803,3201800:13;3201833:74;3201834:72;3201835:75;3201836:74
