t_mono,t_wall,n_procs,client_rss_mb,workers_rss_mb,tree_rss_mb,tree_cpu_pct,sys_used_mb,sys_available_mb,swap_used_mb,net_recv_mb,net_sent_mb,disk_read_mb,workers
111416.1515,1788877717.3410,2,24.12,13.00,37.12,0.0,14022.8,42019.4,2374.5,7146.612,3184.605,70609.709,3197630:13
111416.2609,1788877717.4505,2,24.12,13.00,37.12,0.0,14023.0,42019.2,2374.5,7146.616,3184.606,70609.709,3197630:13
111416.3721,1788877717.5616,2,24.12,13.00,37.12,0.0,14023.0,42019.2,2374.5,7146.616,3184.606,70609.709,3197630:13
111416.4820,1788877717.6716,2,45.75,13.00,58.75,353.6,14037.1,42005.2,2374.5,7146.622,3184.608,70609.709,3197630:13
111416.6040,1788877717.7936,2,61.96,13.00,74.96,753.1,14048.1,41994.1,2374.5,7146.622,3184.608,70609.709,3197630:13
111416.7152,1788877717.9047,2,82.49,13.00,95.49,100.2,14051.9,41990.3,2374.5,7146.633,3184.610,70609.709,3197630:13
111416.8247,1788877718.0142,2,107.82,13.00,120.82,101.2,14075.1,41967.2,2374.5,7146.633,3184.610,70609.709,3197630:13
111416.9334,1788877718.1229,2,112.78,13.00,125.78,100.1,14061.9,41980.4,2374.5,7146.634,3184.611,70609.709,3197630:13
111417.0436,1788877718.2332,2,152.81,13.00,165.81,108.1,14076.0,41966.2,2374.5,7146.634,3184.611,70609.709,3197630:13
111417.1569,1788877718.3465,10,194.56,104.25,298.81,41.3,14122.9,41919.3,2374.5,7146.789,3184.615,70609.709,3197630:13;3197661:12;3197662:12;3197663:11;3197664:12;3197665:11;3197666:12;3197667:11;3197668:11
111417.2773,1788877718.4668,10,194.56,261.03,455.59,818.7,14187.9,41854.3,2374.5,7146.789,3184.615,70609.709,3197630:13;3197661:31;3197662:31;3197663:30;3197664:31;3197665:31;3197666:31;3197667:31;3197668:31
111417.4101,1788877718.5996,10,194.56,364.39,558.95,1259.6,14244.8,41797.5,2374.5,7146.812,3184.616,70609.709,3197630:13;3197661:44;3197662:45;3197663:40;3197664:44;3197665:44;3197666:44;3197667:46;3197668:44
111417.6946,1788877718.8841,10,194.56,411.71,606.27,1036.5,14261.6,41780.6,2374.5,7146.813,3184.617,70609.709,3197630:13;3197661:51;3197662:54;3197663:45;3197664:49;3197665:48;3197666:49;3197667:54;3197668:49
111417.8371,1788877719.0266,10,194.56,501.16,695.73,766.9,14291.9,41750.3,2374.5,7146.813,3184.617,70609.709,3197630:13;3197661:62;3197662:62;3197663:56;3197664:61;3197665:61;3197666:61;3197667:64;3197668:61
111417.9996,1788877719.1892,10,194.56,554.82,749.38,819.6,14334.4,41707.8,2374.5,7146.826,3184.617,70609.709,3197630:13;3197661:70;3197662:69;3197663:64;3197664:67;3197665:67;3197666:67;3197667:71;3197668:67
111418.1485,1788877719.3381,10,194.56,615.35,809.91,798.1,14375.0,41667.2,2374.5,7146.827,3184.618,70609.709,3197630:13;3197661:77;3197662:74;3197663:72;3197664:75;3197665:75;3197666:75;3197667:79;3197668:75
111418.3141,1788877719.5036,10,194.56,670.13,864.69,807.4,14427.4,41614.8,2374.5,7146.827,3184.618,70609.709,3197630:13;3197661:85;3197662:80;3197663:79;3197664:82;3197665:82;3197666:81;3197667:86;3197668:82
111418.4759,1788877719.6655,10,194.56,723.43,917.99,787.8,14480.6,41561.6,2374.5,7146.827,3184.618,70609.709,3197630:13;3197661:90;3197662:87;3197663:87;3197664:89;3197665:89;3197666:88;3197667:91;3197668:89
111418.6437,1788877719.8332,10,194.56,738.68,933.24,810.5,14508.4,41533.8,2374.5,7146.840,3184.618,70609.713,3197630:13;3197661:91;3197662:90;3197663:90;3197664:91;3197665:91;3197666:90;3197667:92;3197668:90
111418.8223,1788877720.0119,10,195.44,754.93,950.37,813.5,14504.5,41537.7,2374.5,7146.840,3184.618,70609.713,3197630:13;3197661:96;3197662:90;3197663:91;3197664:92;3197665:93;3197666:92;3197667:96;3197668:92
111418.9870,1788877720.1766,10,195.44,774.18,969.62,325.1,14513.3,41529.0,2374.5,7146.840,3184.618,70609.713,3197630:13;3197661:96;3197662:93;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111419.1120,1788877720.3015,10,196.31,776.68,972.99,49.8,14513.5,41528.8,2374.5,7146.846,3184.621,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111419.2318,1788877720.4214,10,197.81,776.68,974.49,17.1,14513.5,41528.8,2374.5,7146.847,3184.621,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111419.3486,1788877720.5381,10,197.81,776.68,974.49,17.4,14513.5,41528.8,2374.5,7146.862,3184.622,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111419.4632,1788877720.6528,10,197.81,776.68,974.49,0.0,14513.5,41528.8,2374.5,7146.862,3184.622,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111419.5808,1788877720.7703,10,197.81,776.68,974.49,0.0,14513.5,41528.8,2374.5,7146.862,3184.622,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111419.6932,1788877720.8827,10,197.81,776.68,974.49,0.0,14513.5,41528.8,2374.5,7146.874,3184.623,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111419.8058,1788877720.9953,10,197.81,776.68,974.49,0.0,14506.9,41535.3,2374.5,7146.874,3184.623,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111419.9166,1788877721.1061,10,197.94,776.80,974.74,0.0,14502.9,41539.3,2374.5,7146.874,3184.623,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111420.0276,1788877721.2171,10,197.94,776.80,974.74,27.2,14503.1,41539.1,2374.5,7146.874,3184.623,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111420.1378,1788877721.3274,10,197.94,776.80,974.74,0.0,14503.1,41539.1,2374.5,7146.874,3184.623,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111420.2486,1788877721.4381,10,212.46,776.80,989.26,36.3,14516.9,41525.3,2374.5,7146.999,3184.625,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111420.3586,1788877721.5481,10,223.89,776.80,1000.69,91.1,14528.5,41513.7,2374.5,7146.999,3184.625,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111420.4683,1788877721.6578,10,227.64,776.80,1004.44,109.4,14532.2,41510.0,2374.5,7146.999,3184.625,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111420.5788,1788877721.7684,10,227.76,776.80,1004.57,0.0,14533.9,41508.3,2374.5,7146.999,3184.626,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111420.6888,1788877721.8783,10,227.76,776.80,1004.57,18.2,14533.9,41508.3,2374.5,7147.000,3184.626,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111420.7984,1788877721.9879,10,227.76,776.80,1004.57,0.0,14534.1,41508.1,2374.5,7147.000,3184.626,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111420.9084,1788877722.0979,10,227.76,776.80,1004.57,9.2,14517.4,41524.8,2374.5,7147.000,3184.626,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111421.0180,1788877722.2075,10,227.76,776.80,1004.57,0.0,14517.4,41524.8,2374.5,7147.000,3184.629,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111421.1280,1788877722.3176,10,227.76,776.80,1004.57,9.0,14517.4,41524.8,2374.5,7147.006,3184.635,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111421.2379,1788877722.4274,10,227.89,776.80,1004.69,0.0,14517.4,41524.8,2374.5,7147.006,3184.635,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111421.3480,1788877722.5376,10,227.89,776.80,1004.69,0.0,14517.4,41524.9,2374.5,7147.010,3184.638,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111421.4582,1788877722.6477,10,227.89,776.80,1004.69,9.1,14517.4,41524.9,2374.5,7147.010,3184.638,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111421.5673,1788877722.7569,10,227.89,776.80,1004.69,9.2,14517.4,41524.9,2374.5,7147.018,3184.656,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111421.6765,1788877722.8660,10,227.89,776.80,1004.69,18.2,14517.4,41524.9,2374.5,7147.018,3184.656,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111421.7863,1788877722.9758,10,246.50,776.80,1023.30,62.8,14540.5,41501.7,2374.5,7147.131,3184.657,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111421.8977,1788877723.0873,10,246.87,776.80,1023.68,108.8,14531.7,41510.6,2374.5,7147.131,3184.657,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111422.0090,1788877723.1986,10,247.37,776.80,1024.18,35.5,14531.9,41510.3,2374.5,7147.132,3184.658,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111422.1207,1788877723.3102,10,247.37,776.80,1024.18,0.0,14531.9,41510.3,2374.5,7147.132,3184.658,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111422.2323,1788877723.4218,10,247.37,776.80,1024.18,0.0,14531.9,41510.3,2374.5,7147.132,3184.658,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111422.3417,1788877723.5312,10,247.37,776.80,1024.18,9.1,14531.9,41510.3,2374.5,7147.132,3184.658,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
111422.4511,1788877723.6406,10,247.37,776.80,1024.18,9.0,14531.9,41510.3,2374.5,7147.132,3184.658,70609.713,3197630:13;3197661:96;3197662:95;3197663:95;3197664:96;3197665:96;3197666:95;3197667:96;3197668:95
