t_mono,t_wall,n_procs,client_rss_mb,workers_rss_mb,tree_rss_mb,tree_cpu_pct,sys_used_mb,sys_available_mb,swap_used_mb,net_recv_mb,net_sent_mb,disk_read_mb,workers
111185.2254,1788877486.4149,2,24.09,13.00,37.09,0.0,15220.4,40821.8,2374.5,5903.544,3081.039,70604.693,3195483:13
111185.3349,1788877486.5244,2,24.09,13.00,37.09,0.0,15220.7,40821.5,2374.5,5903.544,3081.039,70604.693,3195483:13
111185.4433,1788877486.6328,2,24.09,13.00,37.09,0.0,15220.9,40821.3,2374.5,5903.544,3081.039,70604.693,3195483:13
111185.5520,1788877486.7416,2,45.95,13.00,58.95,367.4,15220.9,40821.3,2374.5,5903.544,3081.039,70604.717,3195483:13
111185.6759,1788877486.8654,2,62.46,13.00,75.46,712.7,15220.9,40821.3,2374.5,5903.544,3081.039,70604.717,3195483:13
111185.7866,1788877486.9761,2,88.63,13.00,101.63,100.7,15220.9,40821.3,2374.5,5903.544,3081.039,70604.717,3195483:13
111185.8961,1788877487.0857,2,110.28,13.00,123.28,99.3,15218.3,40823.9,2374.5,5903.545,3081.039,70604.717,3195483:13
111186.0069,1788877487.1965,2,122.65,13.00,135.65,105.8,15199.6,40842.7,2374.5,5903.545,3081.039,70604.717,3195483:13
111186.1200,1788877487.3096,2,154.70,13.00,167.70,81.7,15199.1,40843.1,2374.5,5903.545,3081.041,70604.717,3195483:13
111186.2312,1788877487.4207,2,155.20,13.00,168.20,0.0,15199.1,40843.1,2374.5,5903.550,3081.041,70604.717,3195483:13
111186.3423,1788877487.5318,2,155.20,13.00,168.20,0.0,15199.6,40842.6,2374.5,5903.550,3081.041,70604.717,3195483:13
111186.4515,1788877487.6411,2,155.20,13.00,168.20,0.0,15199.0,40843.3,2374.5,5903.550,3081.041,70604.717,3195483:13
111186.5602,1788877487.7497,2,174.32,13.00,187.32,18.3,15199.2,40843.0,2374.5,5903.691,3081.043,70604.717,3195483:13
111186.6700,1788877487.8595,6,194.32,135.96,330.29,8.8,15221.3,40820.9,2374.5,5903.691,3081.043,70604.717,3195483:13;3195515:31;3195516:30;3195517:31;3195518:31
111186.7861,1788877487.9756,6,194.32,200.80,395.12,1166.7,15231.5,40810.7,2374.5,5903.691,3081.043,70604.717,3195483:13;3195515:56;3195516:44;3195517:44;3195518:44
111186.9083,1788877488.0978,6,194.32,289.11,483.43,475.4,15265.7,40776.6,2374.5,5903.691,3081.043,70604.717,3195483:13;3195515:77;3195516:66;3195517:66;3195518:66
111187.0187,1788877488.2082,6,194.32,368.07,562.39,387.4,15310.7,40731.5,2374.5,5903.691,3081.043,70604.717,3195483:13;3195515:91;3195516:87;3195517:89;3195518:89
111187.1297,1788877488.3192,6,195.70,393.19,588.89,290.8,15327.9,40714.3,2374.5,5903.691,3081.043,70604.717,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111187.2398,1788877488.4294,6,196.32,393.19,589.52,9.0,15328.2,40714.0,2374.5,5903.698,3081.050,70604.717,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111187.3506,1788877488.5402,6,197.82,393.19,591.02,18.3,15333.3,40708.9,2374.5,5903.699,3081.050,70604.717,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111187.4603,1788877488.6498,6,197.82,393.19,591.02,0.0,15333.3,40708.9,2374.5,5903.701,3081.051,70604.717,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111187.5699,1788877488.7594,6,197.82,393.19,591.02,9.0,15333.3,40708.9,2374.5,5903.701,3081.052,70604.717,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111187.6803,1788877488.8698,6,197.82,393.19,591.02,0.0,15333.3,40708.9,2374.5,5903.701,3081.052,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111187.7913,1788877488.9808,6,197.82,393.19,591.02,9.1,15333.3,40708.9,2374.5,5903.701,3081.052,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111187.9004,1788877489.0899,6,197.82,393.19,591.02,0.0,15331.3,40710.9,2374.5,5903.701,3081.052,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111188.0105,1788877489.2000,6,197.82,393.19,591.02,0.0,15323.4,40718.8,2374.5,5903.701,3081.052,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111188.1192,1788877489.3087,6,197.95,393.32,591.27,9.2,15323.4,40718.8,2374.5,5903.701,3081.052,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111188.2280,1788877489.4175,6,197.95,393.32,591.27,9.1,15323.4,40718.8,2374.5,5903.701,3081.052,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111188.3384,1788877489.5279,6,197.95,393.32,591.27,9.2,15323.4,40718.8,2374.5,5903.701,3081.052,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111188.4473,1788877489.6368,6,197.95,393.32,591.27,0.0,15323.4,40718.8,2374.5,5903.702,3081.052,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111188.5570,1788877489.7466,6,217.13,393.32,610.45,45.4,15346.6,40695.7,2374.5,5903.826,3081.054,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111188.6669,1788877489.8564,6,224.88,393.32,618.20,99.4,15346.6,40695.7,2374.5,5903.826,3081.054,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111188.7774,1788877489.9669,6,227.25,393.32,620.57,100.7,15346.8,40695.4,2374.5,5903.826,3081.055,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111188.8877,1788877490.0773,6,227.25,393.32,620.57,0.0,15342.7,40699.5,2374.5,5903.827,3081.055,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111188.9977,1788877490.1872,6,227.25,393.32,620.57,0.0,15342.7,40699.5,2374.5,5903.827,3081.055,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111189.1073,1788877490.2968,6,227.25,393.32,620.57,9.1,15340.1,40702.1,2374.5,5903.827,3081.055,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111189.2175,1788877490.4070,6,227.25,393.32,620.57,9.0,15340.1,40702.1,2374.5,5903.827,3081.055,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111189.3287,1788877490.5182,6,227.25,393.32,620.57,0.0,15340.1,40702.1,2374.5,5903.827,3081.055,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111189.4378,1788877490.6273,6,227.25,393.32,620.57,0.0,15340.2,40702.1,2374.5,5903.827,3081.055,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111189.5478,1788877490.7373,6,227.25,393.32,620.57,9.1,15340.2,40702.1,2374.5,5903.827,3081.055,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111189.6565,1788877490.8460,6,227.25,393.32,620.57,0.0,15340.2,40702.1,2374.5,5903.827,3081.055,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111189.7670,1788877490.9565,6,227.25,393.32,620.57,0.0,15340.2,40702.1,2374.5,5903.827,3081.055,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111189.8759,1788877491.0655,6,231.00,393.32,624.32,9.1,15347.0,40695.2,2374.5,5903.925,3081.055,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111189.9861,1788877491.1756,6,246.02,393.32,639.34,91.2,15362.2,40680.0,2374.5,5903.941,3081.055,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111190.0970,1788877491.2865,6,247.02,393.32,640.34,81.3,15358.5,40683.7,2374.5,5903.941,3081.056,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111190.2067,1788877491.3963,6,247.02,393.32,640.34,0.0,15358.5,40683.7,2374.5,5903.941,3081.056,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111190.3181,1788877491.5076,6,247.02,393.32,640.34,0.0,15358.5,40683.7,2374.5,5903.941,3081.056,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111190.4278,1788877491.6174,6,247.02,393.32,640.34,0.0,15358.5,40683.7,2374.5,5903.941,3081.056,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111190.5376,1788877491.7271,6,247.02,393.32,640.34,9.1,15358.5,40683.7,2374.5,5903.941,3081.056,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111190.6471,1788877491.8366,6,247.02,393.32,640.34,9.2,15358.5,40683.7,2374.5,5903.941,3081.056,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111190.7558,1788877491.9454,6,259.57,393.32,652.88,54.9,15370.0,40672.2,2374.5,5904.020,3081.057,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111190.8653,1788877492.0548,6,259.57,393.32,652.88,98.8,15360.8,40681.5,2374.5,5904.020,3081.057,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111190.9766,1788877492.1661,6,259.94,393.32,653.26,64.1,15356.6,40685.6,2374.5,5904.025,3081.060,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111191.0857,1788877492.2752,6,259.94,393.32,653.26,18.2,15357.1,40685.1,2374.5,5904.026,3081.060,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111191.1958,1788877492.3854,6,262.69,393.32,656.01,64.1,15355.9,40686.3,2374.5,5904.027,3081.060,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111191.3051,1788877492.4946,6,262.69,393.32,656.01,99.9,15355.9,40686.3,2374.5,5904.027,3081.060,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111191.4149,1788877492.6044,6,262.69,393.32,656.01,100.1,15355.9,40686.3,2374.5,5904.027,3081.060,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111191.5251,1788877492.7147,6,265.89,393.32,659.21,108.3,15355.9,40686.3,2374.5,5904.027,3081.060,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111191.6356,1788877492.8251,6,269.02,393.32,662.33,100.2,15355.9,40686.3,2374.5,5904.027,3081.061,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111191.7453,1788877492.9349,6,274.39,393.32,667.71,100.7,15361.3,40680.9,2374.5,5904.027,3081.061,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111191.8546,1788877493.0441,6,275.52,393.32,668.83,99.7,15350.8,40691.4,2374.5,5904.028,3081.061,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111191.9648,1788877493.1543,6,279.85,393.32,673.17,91.6,15348.6,40693.6,2374.5,5904.028,3081.061,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111192.0741,1788877493.2636,6,282.36,393.32,675.67,99.6,15348.6,40693.6,2374.5,5904.028,3081.061,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111192.1847,1788877493.3742,6,286.38,393.32,679.70,109.7,15349.5,40692.7,2374.5,5904.028,3081.061,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111192.2938,1788877493.4833,6,286.38,393.32,679.70,101.1,15350.3,40691.9,2374.5,5904.028,3081.061,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111192.4025,1788877493.5921,6,286.52,393.32,679.83,100.6,15350.3,40691.9,2374.5,5904.028,3081.061,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111192.5123,1788877493.7019,6,296.18,393.32,689.50,99.0,15357.9,40684.3,2374.5,5904.028,3081.061,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111192.6232,1788877493.8127,6,296.09,393.32,689.40,99.8,15373.4,40668.8,2374.5,5904.028,3081.061,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111192.7333,1788877493.9229,6,300.09,393.32,693.40,100.2,15373.4,40668.8,2374.5,5904.028,3081.061,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111192.8433,1788877494.0328,6,303.23,393.32,696.55,99.4,15359.8,40682.4,2374.5,5904.028,3081.061,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111192.9537,1788877494.1432,6,303.45,393.32,696.77,110.2,15349.6,40692.7,2374.5,5904.028,3081.061,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111193.0626,1788877494.2521,6,365.28,393.32,758.60,116.4,15370.6,40671.6,2374.5,5904.028,3081.061,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111193.1744,1788877494.3639,6,333.31,393.32,726.62,191.1,15383.4,40658.8,2374.5,5904.029,3081.061,70604.732,3195483:13;3195515:95;3195516:95;3195517:95;3195518:95
111193.2841,1788877494.4737,6,344.39,481.36,825.74,270.2,15420.9,40621.4,2374.5,5904.029,3081.061,70604.732,3195483:13;3195515:117;3195516:117;3195517:117;3195518:117
111193.3955,1788877494.5850,6,344.39,567.86,912.24,399.6,15460.7,40581.5,2374.5,5904.029,3081.061,70604.732,3195483:13;3195515:139;3195516:139;3195517:139;3195518:139
111193.5053,1788877494.6948,6,345.34,633.56,978.90,218.4,15480.5,40561.7,2374.5,5904.045,3081.080,70604.732,3195483:13;3195515:154;3195516:156;3195517:157;3195518:155
111193.6151,1788877494.8047,6,345.34,665.19,1010.53,279.4,15497.6,40544.6,2374.5,5904.052,3081.138,70604.732,3195483:13;3195515:162;3195516:164;3195517:164;3195518:163
111193.7268,1788877494.9164,6,345.34,665.19,1010.53,0.0,15497.6,40544.6,2374.5,5904.052,3081.138,70604.732,3195483:13;3195515:162;3195516:164;3195517:164;3195518:163
111193.8372,1788877495.0268,6,345.34,667.69,1013.03,45.7,15495.6,40546.6,2374.5,5904.159,3081.160,70604.732,3195483:13;3195515:163;3195516:165;3195517:165;3195518:163
111193.9466,1788877495.1361,6,345.34,667.94,1013.28,0.0,15497.0,40545.2,2374.5,5904.219,3081.165,70604.732,3195483:13;3195515:163;3195516:165;3195517:165;3195518:163
111194.0577,1788877495.2472,6,345.34,670.31,1015.65,45.9,15498.5,40543.7,2374.5,5905.161,3081.215,70604.732,3195483:13;3195515:163;3195516:165;3195517:165;3195518:164
111194.1673,1788877495.3568,6,345.34,721.87,1067.21,544.2,15618.4,40423.8,2374.5,5905.466,3081.225,70604.732,3195483:13;3195515:176;3195516:178;3195517:178;3195518:177
111194.2838,1788877495.4734,6,345.34,712.39,1057.73,584.6,15606.4,40435.8,2374.5,5905.746,3081.240,70604.732,3195483:13;3195515:173;3195516:183;3195517:175;3195518:168
111194.3938,1788877495.5833,6,345.34,747.23,1092.57,173.5,15616.1,40426.2,2374.5,5905.771,3081.251,70604.732,3195483:13;3195515:191;3195516:189;3195517:186;3195518:168
111194.5032,1788877495.6927,6,345.34,774.30,1119.64,108.0,15626.6,40415.6,2374.5,5906.259,3081.295,70604.732,3195483:13;3195515:193;3195516:189;3195517:187;3195518:192
111194.6148,1788877495.8044,6,345.34,779.00,1124.34,72.2,15629.0,40413.2,2374.5,5906.259,3081.297,70604.732,3195483:13;3195515:193;3195516:189;3195517:187;3195518:197
111194.7250,1788877495.9146,6,345.34,782.85,1128.19,45.0,15629.8,40412.5,2374.5,5906.380,3081.337,70604.732,3195483:13;3195515:194;3195516:191;3195517:187;3195518:198
111194.8363,1788877496.0258,6,345.34,790.02,1135.36,55.0,15631.2,40411.0,2374.5,5906.451,3081.345,70604.732,3195483:13;3195515:196;3195516:195;3195517:187;3195518:199
111194.9453,1788877496.1348,6,345.34,792.17,1137.51,98.9,15627.9,40414.3,2374.5,5907.073,3081.396,70604.732,3195483:13;3195515:197;3195516:196;3195517:187;3195518:199
111195.0567,1788877496.2462,6,345.34,793.96,1139.30,36.1,15628.7,40413.5,2374.5,5907.171,3081.416,70604.732,3195483:13;3195515:197;3195516:197;3195517:187;3195518:201
111195.1677,1788877496.3573,6,345.34,797.22,1142.56,81.6,15632.1,40410.1,2374.5,5907.547,3081.451,70604.732,3195483:13;3195515:197;3195516:197;3195517:187;3195518:204
111195.2779,1788877496.4674,6,345.34,797.35,1142.69,9.2,15632.4,40409.9,2374.5,5907.644,3081.459,70604.732,3195483:13;3195515:197;3195516:197;3195517:187;3195518:204
111195.3863,1788877496.5759,6,345.34,801.84,1147.18,91.0,15634.6,40407.6,2374.5,5908.363,3081.511,70604.732,3195483:13;3195515:198;3195516:200;3195517:187;3195518:204
